GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0046037	GMP metabolic process	47	30	4.52	1.4e-19	7e-18	7e-18	7e-18	7e-18	7e-18	3.1494437368306e-17	7e-18	1.4e-19	6.63716814159292	BP
GO:0046710	GDP metabolic process	45	29	4.33	3.7e-19	1.813e-17	1.813e-17	1.813e-17	1.85e-17	9.25e-18	4.16176493795472e-17	9.25e-18	3.7e-19	6.69745958429561	BP
GO:0004385	guanylate kinase activity	45	29	4.33	3.7e-19	1.85e-17	1.85e-17	1.85e-17	1.85e-17	1.85e-17	8.32352987590944e-17	1.85e-17	3.7e-19	6.69745958429561	MF
GO:0098839	postsynaptic density membrane	38	26	3.69	3.3e-18	1.65e-16	1.65e-16	1.65e-16	1.65e-16	1.65e-16	7.42368880824355e-16	1.65e-16	3.3e-18	7.04607046070461	CC
GO:0099634	postsynaptic specialization membrane	39	26	3.78	9.1e-18	4.459e-16	4.459e-16	4.459e-16	4.55e-16	2.275e-16	1.02356921446994e-15	2.275e-16	9.1e-18	6.87830687830688	CC
GO:0009135	purine nucleoside diphosphate metabolic ...	49	29	4.71	1.1e-17	5.28e-16	5.17e-16	5.17e-16	5.5e-16	1.375e-16	6.18640734020296e-16	1.375e-16	1.1e-17	6.15711252653928	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	49	29	4.71	1.1e-17	5.28e-16	5.17e-16	5.17e-16	5.5e-16	1.375e-16	6.18640734020296e-16	1.375e-16	1.1e-17	6.15711252653928	BP
GO:0061689	tricellular tight junction	47	28	4.56	4.0e-17	1.92e-15	1.92e-15	1.92e-15	2e-15	6.66666666666667e-16	2.99947022555295e-15	6.66666666666667e-16	4e-17	6.14035087719298	CC
GO:0009185	ribonucleoside diphosphate metabolic pro...	53	29	5.1	2.1e-16	9.66e-15	9.66e-15	9.24e-15	1.05e-14	2.1e-15	9.44833121049179e-15	2.1e-15	2.1e-16	5.68627450980392	BP
GO:0046956	positive phototaxis	40	25	3.85	3.1e-16	1.395e-14	1.364e-14	1.364e-14	1.55e-14	2.21428571428571e-15	9.96252610630087e-15	2.21428571428571e-15	3.1e-16	6.49350649350649	BP
GO:0052128	positive energy taxis	40	25	3.85	3.1e-16	1.395e-14	1.364e-14	1.364e-14	1.55e-14	2.21428571428571e-15	9.96252610630087e-15	2.21428571428571e-15	3.1e-16	6.49350649350649	BP
GO:0009132	nucleoside diphosphate metabolic process	59	29	5.67	8.9e-15	3.827e-13	3.827e-13	3.827e-13	4.45e-13	5.5625e-14	2.50268296944574e-13	5.5625e-14	8.9e-15	5.11463844797178	BP
GO:0050145	nucleoside monophosphate kinase activity	61	29	5.87	2.7e-14	1.323e-12	1.323e-12	1.323e-12	1.35e-12	6.75e-13	3.03696360337236e-12	6.75e-13	2.7e-14	4.94037478705281	MF
GO:0009126	purine nucleoside monophosphate metaboli...	85	33	8.17	5.8e-13	2.436e-11	2.378e-11	2.378e-11	2.9e-11	2.9e-12	1.30476954811553e-11	2.9e-12	5.8e-13	4.03916768665851	BP
