GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0035608	protein deglutamylation	7	4	0.03	8.9e-09	4.45e-07	4.361e-07	4.361e-07	4.45e-07	2.225e-07	1.0010731877783e-06	2.225e-07	8.9e-09	133.333333333333	BP
GO:0035610	protein side chain deglutamylation	7	4	0.03	8.9e-09	4.45e-07	4.361e-07	4.361e-07	4.45e-07	2.225e-07	1.0010731877783e-06	2.225e-07	8.9e-09	133.333333333333	BP
GO:0018200	peptidyl-glutamic acid modification	33	4	0.13	9.6e-06	0.0004608	0.0004608	0.000432	0.00048	0.00015	0.000674880800749414	0.00015	9.6e-06	30.7692307692308	BP
GO:0006477	protein sulfation	2	2	0.01	1.6e-05	0.000752	0.000736	0.000704	8e-04	0.00015	0.000674880800749414	0.00015	1.6e-05	200	BP
GO:0006478	peptidyl-tyrosine sulfation	2	2	0.01	1.6e-05	0.000752	0.000736	0.000704	8e-04	0.00015	0.000674880800749414	0.00015	1.6e-05	200	BP
GO:0008476	protein-tyrosine sulfotransferase activi...	2	2	0.01	1.7e-05	0.00085	0.00085	0.000833	0.00085	0.000475	0.00213712253570648	0.000475	1.7e-05	200	MF
GO:0035041	sperm DNA decondensation	13	3	0.05	1.8e-05	0.00081	0.00081	0.000792	9e-04	0.00015	0.000674880800749414	0.00015	1.8e-05	60	BP
GO:0004181	metallocarboxypeptidase activity	38	4	0.16	1.9e-05	0.000931	0.000931	0.000931	0.00095	0.000475	0.00213712253570648	0.000475	1.9e-05	25	MF
GO:0035039	male pronucleus assembly	14	3	0.06	2.3e-05	0.001012	0.001012	0.001012	0.00115	0.000164285714285714	0.000739155162725548	0.000164285714285714	2.3e-05	50	BP
GO:0030858	positive regulation of epithelial cell d...	3	2	0.01	4.9e-05	0.002107	0.00189	0.00157384615384615	0.00245	0.00030625	0.00137788163486339	0.00030625	4.9e-05	200	BP
GO:0050263	ribosylpyrimidine nucleosidase activity	3	2	0.01	5.1e-05	0.002448	0.002448	0.00235	0.00255	0.00085	0.00382432453758001	0.00085	5.1e-05	200	MF
GO:0004180	carboxypeptidase activity	53	4	0.22	7.0e-05	0.00329	0.00329	0.00322	0.0035	0.000875	0.00393680467103825	0.000875	7e-05	18.1818181818182	MF
