GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0046037	GMP metabolic process	47	30	4.88	1.2e-18	6e-17	6e-17	6e-17	6e-17	6e-17	2.69952320299766e-16	6e-17	1.2e-18	6.14754098360656	BP
GO:0046710	GDP metabolic process	45	29	4.67	3.1e-18	1.519e-16	1.519e-16	1.519e-16	1.55e-16	7.75e-17	3.4868841372053e-16	7.75e-17	3.1e-18	6.20985010706638	BP
GO:0004385	guanylate kinase activity	45	29	4.68	3.2e-18	1.6e-16	1.6e-16	1.6e-16	1.6e-16	1.6e-16	7.19872854132708e-16	1.6e-16	3.2e-18	6.1965811965812	MF
GO:0099634	postsynaptic specialization membrane	39	27	4.09	3.4e-18	1.7e-16	1.7e-16	1.7e-16	1.7e-16	1.7e-16	7.64864907516002e-16	1.7e-16	3.4e-18	6.60146699266504	CC
GO:0098839	postsynaptic density membrane	38	26	3.98	2.3e-17	1.127e-15	1.127e-15	1.127e-15	1.15e-15	5.75e-16	2.58704306953942e-15	5.75e-16	2.3e-17	6.53266331658291	CC
GO:0009135	purine nucleoside diphosphate metabolic ...	49	29	5.09	8.8e-17	4.224e-15	4.136e-15	4.136e-15	4.4e-15	1.1e-15	4.94912587216237e-15	1.1e-15	8.8e-17	5.69744597249509	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	49	29	5.09	8.8e-17	4.224e-15	4.136e-15	4.136e-15	4.4e-15	1.1e-15	4.94912587216237e-15	1.1e-15	8.8e-17	5.69744597249509	BP
GO:0061689	tricellular tight junction	47	28	4.93	3.0e-16	1.44e-14	1.44e-14	1.44e-14	1.5e-14	5e-15	2.24960266916471e-14	5e-15	3e-16	5.67951318458418	CC
GO:0009185	ribonucleoside diphosphate metabolic pro...	53	29	5.5	1.6e-15	7.36e-14	7.36e-14	7.04e-14	8e-14	1.35714285714286e-14	6.10606438773279e-14	1.35714285714286e-14	1.6e-15	5.27272727272727	BP
GO:0046956	positive phototaxis	40	25	4.15	1.9e-15	8.55e-14	8.36e-14	8.36e-14	9.5e-14	1.35714285714286e-14	6.10606438773279e-14	1.35714285714286e-14	1.9e-15	6.02409638554217	BP
GO:0052128	positive energy taxis	40	25	4.15	1.9e-15	8.55e-14	8.36e-14	8.36e-14	9.5e-14	1.35714285714286e-14	6.10606438773279e-14	1.35714285714286e-14	1.9e-15	6.02409638554217	BP
GO:0009132	nucleoside diphosphate metabolic process	59	29	6.13	6.5e-14	2.795e-12	2.795e-12	2.795e-12	3.25e-12	4.0625e-13	1.82780216869633e-12	4.0625e-13	6.5e-14	4.73083197389886	BP
GO:0050145	nucleoside monophosphate kinase activity	61	29	6.34	2.0e-13	9.8e-12	9.8e-12	9.8e-12	1e-11	5e-12	2.24960266916471e-11	5e-12	2e-13	4.57413249211356	MF
GO:0061060	negative regulation of peptidoglycan rec...	88	35	9.14	4.8e-13	2.016e-11	2.016e-11	1.92e-11	2.4e-11	2.66666666666667e-12	1.19978809022118e-11	2.66666666666667e-12	4.8e-13	3.82932166301969	BP
GO:0009126	purine nucleoside monophosphate metaboli...	85	34	8.83	8.5e-13	3.485e-11	3.4e-11	3.315e-11	4.25e-11	3.86363636363636e-12	1.73832933526364e-11	3.86363636363636e-12	8.5e-13	3.85050962627407	BP
GO:0009167	purine ribonucleoside monophosphate meta...	85	34	8.83	8.5e-13	3.485e-11	3.4e-11	3.315e-11	4.25e-11	3.86363636363636e-12	1.73832933526364e-11	3.86363636363636e-12	8.5e-13	3.85050962627407	BP
GO:1900425	negative regulation of defense response ...	91	35	9.45	1.5e-12	5.85e-11	5.85e-11	5.85e-11	7.5e-11	6.25e-12	2.81200333645589e-11	6.25e-12	1.5e-12	3.7037037037037	BP
GO:0016776	phosphotransferase activity, phosphate g...	100	36	10.39	7.5e-12	3.6e-10	3.6e-10	3.6e-10	3.75e-10	1.25e-10	5.62400667291178e-10	1.25e-10	7.5e-12	3.46487006737247	MF
GO:0009629	response to gravity	105	37	10.9	7.8e-12	2.964e-10	2.886e-10	2.886e-10	3.9e-10	2.78571428571429e-11	1.25335005853463e-10	2.78571428571429e-11	7.8e-12	3.39449541284404	BP
GO:0042332	gravitaxis	105	37	10.9	7.8e-12	2.964e-10	2.886e-10	2.886e-10	3.9e-10	2.78571428571429e-11	1.25335005853463e-10	2.78571428571429e-11	7.8e-12	3.39449541284404	BP
GO:0005920	smooth septate junction	57	26	5.97	1.4e-11	6.58e-10	6.58e-10	6.58e-10	7e-10	1.75e-10	7.87360934207649e-10	1.75e-10	1.4e-11	4.35510887772194	CC
GO:0009161	ribonucleoside monophosphate metabolic p...	106	36	11.01	5.1e-11	1.836e-09	1.836e-09	1.836e-09	2.55e-09	1.7e-10	7.64864907516002e-10	1.7e-10	5.1e-11	3.26975476839237	BP
GO:0019205	nucleobase-containing compound kinase ac...	78	30	8.11	6.1e-11	2.867e-09	2.867e-09	2.867e-09	3.05e-09	7.625e-10	3.43064407047619e-09	7.625e-10	6.1e-11	3.69913686806412	MF
GO:0008049	male courtship behavior	286	67	29.7	1.2e-10	4.2e-09	4.2e-09	4.2e-09	6e-09	3.75e-10	1.68720200187353e-09	3.75e-10	1.2e-10	2.25589225589226	BP
GO:0061176	type Ib terminal bouton	58	25	6.08	1.6e-10	7.36e-09	7.36e-09	7.36e-09	8e-09	1.6e-09	7.19872854132708e-09	1.6e-09	1.6e-10	4.11184210526316	CC
GO:0007619	courtship behavior	382	80	39.67	6.7e-10	2.278e-08	2.278e-08	1.943e-08	3.35e-08	1.97058823529412e-09	8.86608110788445e-09	1.97058823529412e-09	6.7e-10	2.01663725737333	BP
GO:0042058	regulation of epidermal growth factor re...	155	43	16.1	1.1e-09	3.63e-08	3.52e-08	2.97e-08	5.5e-08	2.85714285714286e-09	1.28548723952269e-08	2.85714285714286e-09	1.1e-09	2.67080745341615	BP
GO:1901184	regulation of ERBB signaling pathway	155	43	16.1	1.1e-09	3.63e-08	3.52e-08	2.97e-08	5.5e-08	2.85714285714286e-09	1.28548723952269e-08	2.85714285714286e-09	1.1e-09	2.67080745341615	BP
GO:0009453	energy taxis	77	28	8	1.2e-09	3.72e-08	3.6e-08	3.12e-08	6e-08	2.85714285714286e-09	1.28548723952269e-08	2.85714285714286e-09	1.2e-09	3.5	BP
GO:0042331	phototaxis	77	28	8	1.2e-09	3.72e-08	3.6e-08	3.12e-08	6e-08	2.85714285714286e-09	1.28548723952269e-08	2.85714285714286e-09	1.2e-09	3.5	BP
GO:0043113	receptor clustering	107	34	11.11	1.3e-09	3.77e-08	3.77e-08	3.38e-08	6.5e-08	2.95454545454545e-09	1.32931066814278e-08	2.95454545454545e-09	1.3e-09	3.06030603060306	BP
GO:0000132	establishment of mitotic spindle orienta...	99	32	10.28	2.4e-09	6.72e-08	6.72e-08	5.76e-08	1.2e-07	5.20833333333333e-09	2.34333611371324e-08	5.20833333333333e-09	2.4e-09	3.11284046692607	BP
GO:0009123	nucleoside monophosphate metabolic proce...	120	36	12.46	2.5e-09	6.75e-08	6.75e-08	5.84e-08	1.25e-07	5.20833333333333e-09	2.34333611371324e-08	5.20833333333333e-09	2.5e-09	2.8892455858748	BP
GO:0030714	anterior/posterior axis specification, f...	66	25	6.85	3.4e-09	8.84e-08	8.84e-08	7.48e-08	1.7e-07	6.8e-09	3.05945963006401e-08	6.8e-09	3.4e-09	3.64963503649635	BP
GO:0045175	basal protein localization	81	28	8.41	4.4e-09	1.1e-07	1.08e-07	9.53333333333333e-08	2.2e-07	8.33333333333333e-09	3.74933778194119e-08	8.33333333333333e-09	4.4e-09	3.32936979785969	BP
GO:0097120	receptor localization to synapse	91	30	9.45	4.5e-09	1.1e-07	1.08e-07	9.53333333333333e-08	2.25e-07	8.33333333333333e-09	3.74933778194119e-08	8.33333333333333e-09	4.5e-09	3.17460317460317	BP
GO:0060179	male mating behavior	313	67	32.5	6.4e-09	1.472e-07	1.472e-07	1.28e-07	3.2e-07	1.14285714285714e-08	5.14194895809077e-08	1.14285714285714e-08	6.4e-09	2.06153846153846	BP
GO:0051294	establishment of spindle orientation	119	35	12.36	7.3e-09	1.606e-07	1.606e-07	1.46e-07	3.65e-07	1.25862068965517e-08	5.66279292582841e-08	1.25862068965517e-08	7.3e-09	2.83171521035599	BP
GO:0007562	eclosion	51	21	5.3	1.0e-08	2.1e-07	2.1e-07	1.9e-07	5e-07	1.66666666666667e-08	7.49867556388237e-08	1.66666666666667e-08	1e-08	3.9622641509434	BP
GO:0045197	establishment or maintenance of epitheli...	185	46	19.21	1.3e-08	2.6e-07	2.6e-07	2.34333333333333e-07	6.5e-07	2.09677419354839e-08	9.43381764488428e-08	2.09677419354839e-08	1.3e-08	2.39458615304529	BP
GO:0071684	organism emergence from protective struc...	66	24	6.85	1.8e-08	3.42e-07	3.42e-07	3.06e-07	9e-07	2.8125e-08	1.26540150140515e-07	2.8125e-08	1.8e-08	3.5036496350365	BP
GO:0016336	establishment or maintenance of polarity...	78	26	8.1	3.7e-08	6.66e-07	6.66e-07	5.55e-07	1.85e-06	5.60606060606061e-08	2.52228178057862e-07	5.60606060606061e-08	3.7e-08	3.20987654320988	BP
GO:0051899	membrane depolarization	79	26	8.2	4.9e-08	8.33e-07	8.33e-07	6.86e-07	2.45e-06	7.20588235294118e-08	3.24207443497267e-07	7.20588235294118e-08	4.9e-08	3.17073170731707	BP
GO:0016335	morphogenesis of larval imaginal disc ep...	80	26	8.31	6.6e-08	1.056e-06	1e-06	8.58e-07	3.3e-06	9.42857142857143e-08	4.24210789042489e-07	9.42857142857143e-08	6.6e-08	3.12876052948255	BP
GO:0035088	establishment or maintenance of apical/b...	195	46	20.25	7.4e-08	1.11e-06	1e-06	9.62e-07	3.7e-06	1e-07	4.49920533832943e-07	1e-07	7.4e-08	2.2716049382716	BP
GO:0061245	establishment or maintenance of bipolar ...	195	46	20.25	7.4e-08	1.11e-06	1e-06	9.62e-07	3.7e-06	1e-07	4.49920533832943e-07	1e-07	7.4e-08	2.2716049382716	BP
GO:0070160	tight junction	176	43	18.44	8.8e-08	3.96e-06	3.96e-06	3.96e-06	4.4e-06	7.33333333333333e-07	3.29941724810824e-06	7.33333333333333e-07	8.8e-08	2.33188720173536	CC
GO:0031503	protein-containing complex localization	173	42	17.96	1.2e-07	1.56e-06	1e-06	1e-06	6e-06	1.57894736842105e-07	7.1040084289412e-07	1.57894736842105e-07	1.2e-07	2.33853006681514	BP
GO:0040001	establishment of mitotic spindle localiz...	124	33	12.88	2.7e-07	3.24e-06	1e-06	1e-06	1.35e-05	3.46153846153846e-07	1.55741723249865e-06	3.46153846153846e-07	2.7e-07	2.56211180124224	BP
GO:0061057	peptidoglycan recognition protein signal...	179	42	18.59	3.2e-07	3.52e-06	1e-06	1e-06	1.6e-05	4e-07	1.79968213533177e-06	4e-07	3.2e-07	2.25927918235611	BP
GO:0051653	spindle localization	150	37	15.58	4.2e-07	4.2e-06	1e-06	1e-06	2.1e-05	5.1219512195122e-07	2.30447102694922e-06	5.1219512195122e-07	4.2e-07	2.37483953786906	BP
GO:0016328	lateral plasma membrane	143	36	14.98	4.4e-07	1.936e-05	1.936e-05	1.77666666666667e-05	2.2e-05	2.9375e-06	1.32164156813427e-05	2.9375e-06	4.4e-07	2.40320427236315	CC
GO:0045475	locomotor rhythm	286	58	29.7	4.5e-07	4.2e-06	1e-06	1e-06	2.25e-05	5.35714285714286e-07	2.41028857410505e-06	5.35714285714286e-07	4.5e-07	1.95286195286195	BP
GO:0031348	negative regulation of defense response	169	40	17.55	4.7e-07	4.2e-06	1e-06	1e-06	2.35e-05	5.46511627906977e-07	2.45886803373817e-06	5.46511627906977e-07	4.7e-07	2.27920227920228	BP
GO:0016327	apicolateral plasma membrane	120	32	12.57	4.7e-07	2.021e-05	2.021e-05	1.88e-05	2.35e-05	2.9375e-06	1.32164156813427e-05	2.9375e-06	4.7e-07	2.54574383452665	CC
GO:0032231	regulation of actin filament bundle asse...	62	21	6.44	5.5e-07	4.2e-06	1e-06	1e-06	2.75e-05	6.25e-07	2.81200333645589e-06	6.25e-07	5.5e-07	3.26086956521739	BP
GO:0005243	gap junction channel activity	13	9	1.35	6.7e-07	3.082e-05	3.082e-05	3.015e-05	3.35e-05	6.7e-06	3.01446757668071e-05	6.7e-06	6.7e-07	6.66666666666667	MF
GO:0061058	regulation of peptidoglycan recognition ...	147	36	15.26	7.2e-07	4.32e-06	1e-06	1e-06	3.6e-05	8e-07	3.59936427066354e-06	8e-07	7.2e-07	2.35910878112713	BP
GO:0005921	gap junction	13	9	1.36	7.2e-07	3.024e-05	3.024e-05	2.808e-05	3.6e-05	4e-06	1.79968213533177e-05	4e-06	7.2e-07	6.61764705882353	CC
