GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0046037	GMP metabolic process	47	29	4.22	3.2e-19	1.6e-17	1.6e-17	1.6e-17	1.6e-17	1.6e-17	7.19872854132708e-17	1.6e-17	3.2e-19	6.87203791469194	BP
GO:0046710	GDP metabolic process	45	28	4.04	9.6e-19	4.704e-17	4.704e-17	4.704e-17	4.8e-17	2.4e-17	1.07980928119906e-16	2.4e-17	9.6e-19	6.93069306930693	BP
GO:0004385	guanylate kinase activity	45	28	4.04	9.8e-19	4.9e-17	4.9e-17	4.9e-17	4.9e-17	4.9e-17	2.20461061578142e-16	4.9e-17	9.8e-19	6.93069306930693	MF
GO:0098839	postsynaptic density membrane	38	25	3.44	1.2e-17	6e-16	6e-16	6e-16	6e-16	6e-16	2.69952320299765e-15	6e-16	1.2e-17	7.26744186046512	CC
GO:0009135	purine nucleoside diphosphate metabolic ...	49	28	4.39	2.4e-17	1.152e-15	1.128e-15	1.128e-15	1.2e-15	3e-16	1.34976160149883e-15	3e-16	2.4e-17	6.37813211845103	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	49	28	4.39	2.4e-17	1.152e-15	1.128e-15	1.128e-15	1.2e-15	3e-16	1.34976160149883e-15	3e-16	2.4e-17	6.37813211845103	BP
GO:0099634	postsynaptic specialization membrane	39	25	3.53	3.1e-17	1.519e-15	1.519e-15	1.519e-15	1.55e-15	7.75e-16	3.4868841372053e-15	7.75e-16	3.1e-17	7.08215297450425	CC
GO:0009185	ribonucleoside diphosphate metabolic pro...	53	28	4.75	3.8e-16	1.748e-14	1.748e-14	1.71e-14	1.9e-14	3.8e-15	1.70969802856518e-14	3.8e-15	3.8e-16	5.89473684210526	BP
GO:0046956	positive phototaxis	40	24	3.59	9.7e-16	4.365e-14	4.268e-14	4.268e-14	4.85e-14	6.92857142857143e-15	3.11730655584253e-14	6.92857142857143e-15	9.7e-16	6.68523676880223	BP
GO:0052128	positive energy taxis	40	24	3.59	9.7e-16	4.365e-14	4.268e-14	4.268e-14	4.85e-14	6.92857142857143e-15	3.11730655584253e-14	6.92857142857143e-15	9.7e-16	6.68523676880223	BP
GO:0009132	nucleoside diphosphate metabolic process	59	28	5.29	1.4e-14	6.02e-13	6.02e-13	6.02e-13	7e-13	8.75e-14	3.93680467103825e-13	8.75e-14	1.4e-14	5.2930056710775	BP
GO:0061689	tricellular tight junction	47	25	4.25	1.5e-14	7.2e-13	7.2e-13	7.2e-13	7.5e-13	2.5e-13	1.12480133458236e-12	2.5e-13	1.5e-14	5.88235294117647	CC
GO:0050145	nucleoside monophosphate kinase activity	61	28	5.48	4.1e-14	2.009e-12	2.009e-12	2.009e-12	2.05e-12	1.025e-12	4.61168547178766e-12	1.025e-12	4.1e-14	5.10948905109489	MF
GO:0009126	purine nucleoside monophosphate metaboli...	85	32	7.62	5.3e-13	2.226e-11	2.173e-11	2.173e-11	2.65e-11	2.65e-12	1.1922894146573e-11	2.65e-12	5.3e-13	4.1994750656168	BP
GO:0009167	purine ribonucleoside monophosphate meta...	85	32	7.62	5.3e-13	2.226e-11	2.173e-11	2.173e-11	2.65e-11	2.65e-12	1.1922894146573e-11	2.65e-12	5.3e-13	4.1994750656168	BP
GO:0016776	phosphotransferase activity, phosphate g...	100	35	8.98	5.5e-13	2.64e-11	2.64e-11	2.64e-11	2.75e-11	9.16666666666667e-12	4.12427156013531e-11	9.16666666666667e-12	5.5e-13	3.89755011135857	MF
GO:0061060	negative regulation of peptidoglycan rec...	88	32	7.89	1.6e-12	6.4e-11	6.4e-11	6.08e-11	8e-11	7.27272727272727e-12	3.27214933696685e-11	7.27272727272727e-12	1.6e-12	4.05576679340938	BP
GO:0009629	response to gravity	105	35	9.42	2.8e-12	1.092e-10	1.064e-10	1.036e-10	1.4e-10	1.07692307692308e-11	4.84529805666246e-11	1.07692307692308e-11	2.8e-12	3.71549893842887	BP
GO:0042332	gravitaxis	105	35	9.42	2.8e-12	1.092e-10	1.064e-10	1.036e-10	1.4e-10	1.07692307692308e-11	4.84529805666246e-11	1.07692307692308e-11	2.8e-12	3.71549893842887	BP
GO:0005920	smooth septate junction	57	25	5.16	4.0e-12	1.88e-10	1.88e-10	1.88e-10	2e-10	5e-11	2.24960266916471e-10	5e-11	4e-12	4.84496124031008	CC
GO:1900425	negative regulation of defense response ...	91	32	8.16	4.6e-12	1.702e-10	1.702e-10	1.702e-10	2.3e-10	1.64285714285714e-11	7.39155162725548e-11	1.64285714285714e-11	4.6e-12	3.92156862745098	BP
GO:0019205	nucleobase-containing compound kinase ac...	78	29	7	9.5e-12	4.465e-10	4.465e-10	4.465e-10	4.75e-10	1.1875e-10	5.34280633926619e-10	1.1875e-10	9.5e-12	4.14285714285714	MF
GO:0008049	male courtship behavior	286	62	25.65	4.3e-11	1.548e-09	1.548e-09	1.505e-09	2.15e-09	1.43333333333333e-10	6.44886098493884e-10	1.43333333333333e-10	4.3e-11	2.41715399610136	BP
GO:0061176	type Ib terminal bouton	58	24	5.25	4.9e-11	2.254e-09	2.254e-09	2.254e-09	2.45e-09	4.9e-10	2.20461061578142e-09	4.9e-10	4.9e-11	4.57142857142857	CC
GO:0007619	courtship behavior	382	75	34.26	6.4e-11	2.24e-09	2.24e-09	2.176e-09	3.2e-09	2e-10	8.99841067665885e-10	2e-10	6.4e-11	2.18914185639229	BP
GO:0009161	ribonucleoside monophosphate metabolic p...	106	33	9.51	9.2e-11	3.128e-09	3.128e-09	3.036e-09	4.6e-09	2.70588235294118e-10	1.21743203272443e-09	2.70588235294118e-10	9.2e-11	3.47003154574133	BP
GO:0009453	energy taxis	77	27	6.91	2.3e-10	7.59e-09	7.36e-09	7.36e-09	1.15e-08	6.05263157894737e-10	2.72320323109413e-09	6.05263157894737e-10	2.3e-10	3.90738060781476	BP
GO:0042331	phototaxis	77	27	6.91	2.3e-10	7.59e-09	7.36e-09	7.36e-09	1.15e-08	6.05263157894737e-10	2.72320323109413e-09	6.05263157894737e-10	2.3e-10	3.90738060781476	BP
GO:0030714	anterior/posterior axis specification, f...	66	24	5.92	9.7e-10	3.007e-08	3.007e-08	2.716e-08	4.85e-08	2.425e-09	1.09105729454489e-08	2.425e-09	9.7e-10	4.05405405405405	BP
GO:0045197	establishment or maintenance of epitheli...	185	44	16.59	1.4e-09	4.2e-08	4.2e-08	3.64e-08	7e-08	3.33333333333333e-09	1.49973511277648e-08	3.33333333333333e-09	1.4e-09	2.65220012055455	BP
GO:0060179	male mating behavior	313	62	28.07	2.0e-09	5.8e-08	5.67e-08	4.8e-08	1e-07	4.375e-09	1.96840233551912e-08	4.375e-09	2e-09	2.20876380477378	BP
GO:0042058	regulation of epidermal growth factor re...	155	39	13.9	2.1e-09	5.88e-08	5.67e-08	4.83e-08	1.05e-07	4.375e-09	1.96840233551912e-08	4.375e-09	2.1e-09	2.80575539568345	BP
GO:1901184	regulation of ERBB signaling pathway	155	39	13.9	2.1e-09	5.88e-08	5.67e-08	4.83e-08	1.05e-07	4.375e-09	1.96840233551912e-08	4.375e-09	2.1e-09	2.80575539568345	BP
GO:0009123	nucleoside monophosphate metabolic proce...	120	33	10.76	3.3e-09	8.58e-08	8.58e-08	7.26e-08	1.65e-07	6.6e-09	2.96947552329742e-08	6.6e-09	3.3e-09	3.06691449814126	BP
GO:0045175	basal protein localization	81	26	7.27	4.3e-09	1.075e-07	1.075e-07	9.03e-08	2.15e-07	8.26923076923077e-09	3.7204967220801e-08	8.26923076923077e-09	4.3e-09	3.57634112792297	BP
GO:0000132	establishment of mitotic spindle orienta...	99	29	8.88	6.0e-09	1.44e-07	1.44e-07	1.2e-07	3e-07	1.11111111111111e-08	4.99911704258825e-08	1.11111111111111e-08	6e-09	3.26576576576577	BP
GO:0035088	establishment or maintenance of apical/b...	195	44	17.49	7.8e-09	1.794e-07	1.716e-07	1.56e-07	3.9e-07	1.3448275862069e-08	6.05065545499474e-08	1.3448275862069e-08	7.8e-09	2.51572327044025	BP
GO:0061245	establishment or maintenance of bipolar ...	195	44	17.49	7.8e-09	1.794e-07	1.716e-07	1.56e-07	3.9e-07	1.3448275862069e-08	6.05065545499474e-08	1.3448275862069e-08	7.8e-09	2.51572327044025	BP
GO:0016336	establishment or maintenance of polarity...	78	25	7	8.8e-09	1.848e-07	1.848e-07	1.672e-07	4.4e-07	1.46666666666667e-08	6.59883449621649e-08	1.46666666666667e-08	8.8e-09	3.57142857142857	BP
GO:0051294	establishment of spindle orientation	119	32	10.67	1.0e-08	2e-07	2e-07	1.9e-07	5e-07	1.61290322580645e-08	7.25678280375714e-08	1.61290322580645e-08	1e-08	2.99906279287723	BP
GO:0016335	morphogenesis of larval imaginal disc ep...	80	25	7.18	1.6e-08	3.04e-07	3.04e-07	3.04e-07	8e-07	2.5e-08	1.12480133458236e-07	2.5e-08	1.6e-08	3.48189415041783	BP
GO:0070160	tight junction	176	40	15.93	3.9e-08	1.755e-06	1.755e-06	1.716e-06	1.95e-06	3.25e-07	1.46224173495706e-06	3.25e-07	3.9e-08	2.51098556183302	CC
GO:0051899	membrane depolarization	79	24	7.09	5.6e-08	1.008e-06	6.7e-07	6.7e-07	2.8e-06	8.48484848484848e-08	3.81750755979466e-07	8.48484848484848e-08	5.6e-08	3.38504936530324	BP
GO:0016327	apicolateral plasma membrane	120	31	10.86	5.9e-08	2.596e-06	2.596e-06	2.478e-06	2.95e-06	4.21428571428571e-07	1.89609367829597e-06	4.21428571428571e-07	5.9e-08	2.85451197053407	CC
GO:0120192	tight junction assembly	155	36	13.9	8.1e-08	1.377e-06	6.7e-07	6.7e-07	4.05e-06	1.15714285714286e-07	5.20622332006691e-07	1.15714285714286e-07	8.1e-08	2.58992805755396	BP
GO:0120193	tight junction organization	155	36	13.9	8.1e-08	1.377e-06	6.7e-07	6.7e-07	4.05e-06	1.15714285714286e-07	5.20622332006691e-07	1.15714285714286e-07	8.1e-08	2.58992805755396	BP
GO:0005918	septate junction	148	35	13.4	9.5e-08	4.085e-06	4.085e-06	3.895e-06	4.75e-06	5.9375e-07	2.6714031696331e-06	5.9375e-07	9.5e-08	2.61194029850746	CC
GO:0016328	lateral plasma membrane	143	34	12.94	1.3e-07	5.46e-06	5.46e-06	5.33e-06	6.5e-06	7.22222222222222e-07	3.24942607768236e-06	7.22222222222222e-07	1.3e-07	2.62751159196291	CC
GO:0043113	receptor clustering	107	28	9.6	1.6e-07	2.4e-06	6.7e-07	6.7e-07	8e-06	2.22222222222222e-07	9.9982340851765e-07	2.22222222222222e-07	1.6e-07	2.91666666666667	BP
GO:0042600	egg chorion	45	17	4.07	1.6e-07	6.56e-06	6.56e-06	6.56e-06	8e-06	8e-07	3.59936427066354e-06	8e-07	1.6e-07	4.17690417690418	CC
GO:0032231	regulation of actin filament bundle asse...	62	20	5.56	2.4e-07	3.36e-06	6.7e-07	6.7e-07	1.2e-05	3.24324324324324e-07	1.45920173135008e-06	3.24324324324324e-07	2.4e-07	3.59712230215827	BP
GO:0097120	receptor localization to synapse	91	25	8.16	2.6e-07	3.38e-06	6.7e-07	6.7e-07	1.3e-05	3.42105263157895e-07	1.53920182627059e-06	3.42105263157895e-07	2.6e-07	3.06372549019608	BP
GO:0031348	negative regulation of defense response	169	37	15.16	2.7e-07	3.38e-06	6.7e-07	6.7e-07	1.35e-05	3.46153846153846e-07	1.55741723249865e-06	3.46153846153846e-07	2.7e-07	2.44063324538259	BP
GO:0007043	cell-cell junction assembly	227	45	20.36	3.1e-07	3.41e-06	6.7e-07	6.7e-07	1.55e-05	3.78048780487805e-07	1.70091909131966e-06	3.78048780487805e-07	3.1e-07	2.21021611001965	BP
GO:0043297	apical junction assembly	184	39	16.5	3.1e-07	3.41e-06	6.7e-07	6.7e-07	1.55e-05	3.78048780487805e-07	1.70091909131966e-06	3.78048780487805e-07	3.1e-07	2.36363636363636	BP
GO:0051653	spindle localization	150	34	13.45	3.4e-07	3.41e-06	6.7e-07	6.7e-07	1.7e-05	4.04761904761905e-07	1.82110692265715e-06	4.04761904761905e-07	3.4e-07	2.52788104089219	BP
GO:0040001	establishment of mitotic spindle localiz...	124	30	11.12	3.7e-07	3.41e-06	6.7e-07	6.7e-07	1.85e-05	4.30232558139535e-07	1.93570462230452e-06	4.30232558139535e-07	3.7e-07	2.69784172661871	BP
