GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0007632	visual behavior	113	5	0.24	4.4e-06	0.00022	0.00022	0.00022	0.00022	0.00022	0.000989825174432474	0.00022	4.4e-06	20.8333333333333	BP
GO:0043197	dendritic spine	60	4	0.13	7.9e-06	0.000395	0.0003871	0.0003871	0.000395	0.0001975	0.000888593054320061	0.0001975	7.9e-06	30.7692307692308	CC
GO:0044309	neuron spine	60	4	0.13	7.9e-06	0.000395	0.0003871	0.0003871	0.000395	0.0001975	0.000888593054320061	0.0001975	7.9e-06	30.7692307692308	CC
GO:0048646	anatomical structure formation involved ...	1590	13	3.43	2.0e-05	0.00098	0.00098	0.00084	0.001	0.000431818181818182	0.00194283866882407	0.000431818181818182	2e-05	3.79008746355685	BP
GO:0034452	dynactin binding	26	3	0.06	2.4e-05	0.0012	0.0012	0.0012	0.0012	0.0012	0.00539904640599531	0.0012	2.4e-05	50	MF
GO:0071689	muscle thin filament assembly	95	4	0.21	5.2e-05	0.002496	0.00143	0.00137842105263158	0.0026	0.000431818181818182	0.00194283866882407	0.000431818181818182	5.2e-05	19.047619047619	BP
GO:0045503	dynein light chain binding	34	3	0.07	5.3e-05	0.002597	0.002597	0.002544	0.00265	0.001325	0.00596144707328649	0.001325	5.3e-05	42.8571428571429	MF
GO:0008344	adult locomotory behavior	319	6	0.69	6.0e-05	0.00282	0.00143	0.00143	0.003	0.000431818181818182	0.00194283866882407	0.000431818181818182	6e-05	8.69565217391304	BP
GO:0023052	signaling	4986	23	10.76	7.0e-05	0.00322	0.00143	0.00143	0.0035	0.000431818181818182	0.00194283866882407	0.000431818181818182	7e-05	2.13754646840149	BP
GO:0045504	dynein heavy chain binding	39	3	0.08	8.1e-05	0.003888	0.003888	0.003888	0.00405	0.00135	0.00607392720674472	0.00135	8.1e-05	37.5	MF
GO:0034501	protein localization to kinetochore	40	3	0.09	8.8e-05	0.00396	0.00143	0.00143	0.0044	0.000431818181818182	0.00194283866882407	0.000431818181818182	8.8e-05	33.3333333333333	BP
GO:0071459	protein localization to chromosome, cent...	40	3	0.09	8.8e-05	0.00396	0.00143	0.00143	0.0044	0.000431818181818182	0.00194283866882407	0.000431818181818182	8.8e-05	33.3333333333333	BP
GO:1903083	protein localization to condensed chromo...	40	3	0.09	8.8e-05	0.00396	0.00143	0.00143	0.0044	0.000431818181818182	0.00194283866882407	0.000431818181818182	8.8e-05	33.3333333333333	BP
GO:0035608	protein deglutamylation	7	2	0.02	9.5e-05	0.00399	0.00143	0.00143	0.00475	0.000431818181818182	0.00194283866882407	0.000431818181818182	9.5e-05	100	BP
GO:0035610	protein side chain deglutamylation	7	2	0.02	9.5e-05	0.00399	0.00143	0.00143	0.00475	0.000431818181818182	0.00194283866882407	0.000431818181818182	9.5e-05	100	BP
GO:0045956	positive regulation of calcium ion-depen...	7	2	0.02	9.5e-05	0.00399	0.00143	0.00143	0.00475	0.000431818181818182	0.00194283866882407	0.000431818181818182	9.5e-05	100	BP
GO:0007630	jump response	43	3	0.09	0.00011	0.00429	0.00143	0.00143	0.0055	0.000458333333333333	0.00206213578006765	0.000458333333333333	0.00011	33.3333333333333	BP
GO:0007154	cell communication	5201	23	11.23	0.00014	0.00532	0.00143	0.00143	0.007	0.000538461538461538	0.00242264902833123	0.000538461538461538	0.00014	2.04808548530721	BP
GO:1903307	positive regulation of regulated secreto...	9	2	0.02	0.00016	0.00592	0.00143	0.00143	0.008	0.000558823529411765	0.0025142618067135	0.000558823529411765	0.00016	100	BP
GO:0045214	sarcomere organization	243	5	0.52	0.00017	0.00612	0.00143	0.00143	0.0085	0.000558823529411765	0.0025142618067135	0.000558823529411765	0.00017	9.61538461538461	BP
GO:0008016	regulation of heart contraction	133	4	0.29	0.00019	0.00665	0.00143	0.00143	0.0095	0.000558823529411765	0.0025142618067135	0.000558823529411765	0.00019	13.7931034482759	BP
GO:1903522	regulation of blood circulation	133	4	0.29	0.00019	0.00665	0.00143	0.00143	0.0095	0.000558823529411765	0.0025142618067135	0.000558823529411765	0.00019	13.7931034482759	BP
GO:0036126	sperm flagellum	54	3	0.11	0.00020	0.0096	0.0096	0.0092	0.01	0.0025	0.0112480133458236	0.0025	2e-04	27.2727272727273	CC
GO:0005868	cytoplasmic dynein complex	56	3	0.12	0.00023	0.01081	0.01081	0.01058	0.0115	0.0025	0.0112480133458236	0.0025	0.00023	25	CC
GO:0051642	centrosome localization	56	3	0.12	0.00024	0.00792	0.00143	0.00143	0.012	0.000631578947368421	0.00284160337157648	0.000631578947368421	0.00024	25	BP
GO:0061842	microtubule organizing center localizati...	56	3	0.12	0.00024	0.00792	0.00143	0.00143	0.012	0.000631578947368421	0.00284160337157648	0.000631578947368421	0.00024	25	BP
GO:0097729	9+2 motile cilium	58	3	0.12	0.00025	0.0115	0.0115	0.0115	0.0125	0.0025	0.0112480133458236	0.0025	0.00025	25	CC
GO:0006836	neurotransmitter transport	422	6	0.91	0.00028	0.00868	0.00143	0.00143	0.014	0.000666666666666667	0.00299947022555295	0.000666666666666667	0.00028	6.59340659340659	BP
GO:0002027	regulation of heart rate	59	3	0.13	0.00028	0.00868	0.00143	0.00143	0.014	0.000666666666666667	0.00299947022555295	0.000666666666666667	0.00028	23.0769230769231	BP
GO:0034502	protein localization to chromosome	60	3	0.13	0.00030	0.0087	0.00143	0.00143	0.015	0.000673913043478261	0.00303207316278722	0.000673913043478261	3e-04	23.0769230769231	BP
GO:0016057	regulation of membrane potential in phot...	61	3	0.13	0.00031	0.0087	0.00143	0.00143	0.0155	0.000673913043478261	0.00303207316278722	0.000673913043478261	0.00031	23.0769230769231	BP
GO:0005509	calcium ion binding	618	7	1.33	0.00033	0.01551	0.01551	0.01485	0.0165	0.004125	0.0185592220206089	0.004125	0.00033	5.26315789473684	MF
GO:0023051	regulation of signaling	2706	15	5.84	0.00036	0.00972	0.00143	0.00143	0.018	0.00075	0.00337440400374707	0.00075	0.00036	2.56849315068493	BP
GO:0010646	regulation of cell communication	2717	15	5.86	0.00038	0.00988	0.00143	0.00143	0.019	0.00075	0.00337440400374707	0.00075	0.00038	2.55972696245734	BP
GO:0042391	regulation of membrane potential	449	6	0.97	0.00039	0.00988	0.00143	0.00143	0.0195	0.00075	0.00337440400374707	0.00075	0.00039	6.18556701030928	BP
GO:0008015	blood circulation	163	4	0.35	0.00042	0.01008	0.00143	0.00143	0.021	0.00075	0.00337440400374707	0.00075	0.00042	11.4285714285714	BP
GO:0060047	heart contraction	163	4	0.35	0.00042	0.01008	0.00143	0.00143	0.021	0.00075	0.00337440400374707	0.00075	0.00042	11.4285714285714	BP
GO:0010524	positive regulation of calcium ion trans...	16	2	0.03	0.00054	0.01188	0.00143	0.00143	0.027	0.000931034482758621	0.00418891531499636	0.000931034482758621	0.00054	66.6666666666667	BP
GO:0031638	zymogen activation	17	2	0.04	0.00061	0.01281	0.00143	0.00143	0.0305	0.000971428571428572	0.00437065661437716	0.000971428571428572	0.00061	50	BP
GO:0007626	locomotory behavior	696	7	1.5	0.00067	0.0134	0.00143	0.00143	0.0335	0.000971428571428572	0.00437065661437716	0.000971428571428572	0.00067	4.66666666666667	BP
GO:0007166	cell surface receptor signaling pathway	1954	12	4.22	0.00068	0.0134	0.00143	0.00143	0.034	0.000971428571428572	0.00437065661437716	0.000971428571428572	0.00068	2.8436018957346	BP
GO:0010522	regulation of calcium ion transport into...	18	2	0.04	0.00068	0.0134	0.00143	0.00143	0.034	0.000971428571428572	0.00437065661437716	0.000971428571428572	0.00068	50	BP
GO:0045921	positive regulation of exocytosis	18	2	0.04	0.00068	0.0134	0.00143	0.00143	0.034	0.000971428571428572	0.00437065661437716	0.000971428571428572	0.00068	50	BP
GO:0060402	calcium ion transport into cytosol	18	2	0.04	0.00068	0.0134	0.00143	0.00143	0.034	0.000971428571428572	0.00437065661437716	0.000971428571428572	0.00068	50	BP
GO:1990504	dense core granule exocytosis	19	2	0.04	0.00076	0.0134	0.00143	0.00143	0.038	0.00105555555555556	0.00474916119045884	0.00105555555555556	0.00076	50	BP
GO:0042166	acetylcholine binding	19	2	0.04	0.00076	0.03496	0.03496	0.0242070588235294	0.038	0.0076	0.0341939605713036	0.0076	0.00076	50	MF
GO:0007165	signal transduction	4296	19	9.27	0.00082	0.0134	0.00143	0.00143	0.041	0.00110810810810811	0.00498560591544612	0.00110810810810811	0.00082	2.04962243797195	BP
GO:0030286	dynein complex	88	3	0.19	0.00086	0.0387	0.02413	0.0238	0.043	0.00716666666666667	0.0322443049246942	0.00716666666666667	0.00086	15.7894736842105	CC
GO:0003013	circulatory system process	199	4	0.43	0.00088	0.0134	0.00143	0.00143	0.044	0.00112820512820513	0.00507602653555115	0.00112820512820513	0.00088	9.30232558139535	BP
GO:0003015	heart process	199	4	0.43	0.00088	0.0134	0.00143	0.00143	0.044	0.00112820512820513	0.00507602653555115	0.00112820512820513	0.00088	9.30232558139535	BP
GO:0030239	myofibril assembly	353	5	0.76	0.00095	0.0134	0.00143	0.00143	0.0475	0.0011547619047619	0.00519551092640422	0.0011547619047619	0.00095	6.57894736842105	BP
