GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0046037	GMP metabolic process	51	28	4.23	1.3e-17	6.5e-16	6.5e-16	6.5e-16	6.5e-16	6.5e-16	2.92448346991413e-15	6.5e-16	1.3e-17	6.6193853427896	BP
GO:0098839	postsynaptic density membrane	41	25	3.42	2.5e-17	1.25e-15	1.25e-15	1.25e-15	1.25e-15	1.25e-15	5.62400667291178e-15	1.25e-15	2.5e-17	7.30994152046784	CC
GO:0046710	GDP metabolic process	49	27	4.07	4.5e-17	2.205e-15	2.205e-15	2.205e-15	2.25e-15	1.125e-15	5.0616060056206e-15	1.125e-15	4.5e-17	6.63390663390663	BP
GO:0004385	guanylate kinase activity	49	27	4.07	4.6e-17	2.3e-15	2.3e-15	2.3e-15	2.3e-15	2.3e-15	1.03481722781577e-14	2.3e-15	4.6e-17	6.63390663390663	MF
GO:0099634	postsynaptic specialization membrane	43	25	3.58	1.3e-16	6.37e-15	6.37e-15	6.37e-15	6.5e-15	3.25e-15	1.46224173495706e-14	3.25e-15	1.3e-16	6.98324022346369	CC
GO:0009135	purine nucleoside diphosphate metabolic ...	51	27	4.23	1.7e-16	8.16e-15	7.99e-15	7.99e-15	8.5e-15	2.125e-15	9.56081134395003e-15	2.125e-15	1.7e-16	6.38297872340425	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	51	27	4.23	1.7e-16	8.16e-15	7.99e-15	7.99e-15	8.5e-15	2.125e-15	9.56081134395003e-15	2.125e-15	1.7e-16	6.38297872340425	BP
GO:0046956	positive phototaxis	42	24	3.49	8.0e-16	3.68e-14	3.6e-14	3.52e-14	4e-14	6.66666666666667e-15	2.99947022555295e-14	6.66666666666667e-15	8e-16	6.87679083094556	BP
GO:0052128	positive energy taxis	42	24	3.49	8.0e-16	3.68e-14	3.6e-14	3.52e-14	4e-14	6.66666666666667e-15	2.99947022555295e-14	6.66666666666667e-15	8e-16	6.87679083094556	BP
GO:0009185	ribonucleoside diphosphate metabolic pro...	54	27	4.48	1.2e-15	5.28e-14	5.28e-14	5.28e-14	6e-14	8.57142857142857e-15	3.85646171856808e-14	8.57142857142857e-15	1.2e-15	6.02678571428571	BP
GO:0009132	nucleoside diphosphate metabolic process	60	27	4.98	3.2e-14	1.376e-12	1.376e-12	1.344e-12	1.6e-12	2e-13	8.99841067665885e-13	2e-13	3.2e-14	5.42168674698795	BP
GO:0045197	establishment or maintenance of epitheli...	173	48	14.36	3.8e-14	1.596e-12	1.596e-12	1.596e-12	1.9e-12	2.11111111111111e-13	9.49832238091768e-13	2.11111111111111e-13	3.8e-14	3.34261838440111	BP
GO:0061689	tricellular tight junction	52	25	4.33	4.7e-14	2.256e-12	2.256e-12	2.256e-12	2.35e-12	7.83333333333333e-13	3.52437751502472e-12	7.83333333333333e-13	4.7e-14	5.77367205542725	CC
GO:0050145	nucleoside monophosphate kinase activity	61	27	5.07	5.5e-14	2.695e-12	2.695e-12	2.695e-12	2.75e-12	1.375e-12	6.18640734020296e-12	1.375e-12	5.5e-14	5.32544378698225	MF
GO:0009126	purine nucleoside monophosphate metaboli...	88	32	7.3	2.0e-13	8.2e-12	8e-12	8e-12	1e-11	9.09090909090909e-13	4.09018667120857e-12	9.09090909090909e-13	2e-13	4.38356164383562	BP
GO:0009167	purine ribonucleoside monophosphate meta...	88	32	7.3	2.0e-13	8.2e-12	8e-12	8e-12	1e-11	9.09090909090909e-13	4.09018667120857e-12	9.09090909090909e-13	2e-13	4.38356164383562	BP
GO:0035088	establishment or maintenance of apical/b...	189	48	15.68	1.4e-12	5.46e-11	5.32e-11	5.32e-11	7e-11	5.38461538461539e-12	2.42264902833123e-11	5.38461538461539e-12	1.4e-12	3.06122448979592	BP
GO:0061245	establishment or maintenance of bipolar ...	189	48	15.68	1.4e-12	5.46e-11	5.32e-11	5.32e-11	7e-11	5.38461538461539e-12	2.42264902833123e-11	5.38461538461539e-12	1.4e-12	3.06122448979592	BP
GO:0016776	phosphotransferase activity, phosphate g...	102	33	8.48	3.7e-12	1.776e-10	1.776e-10	1.776e-10	1.85e-10	6.16666666666667e-11	2.77450995863648e-10	6.16666666666667e-11	3.7e-12	3.89150943396226	MF
GO:0007619	courtship behavior	426	79	35.35	8.6e-12	3.182e-10	3.182e-10	3.06e-10	4.3e-10	3.07142857142857e-11	1.38189878248689e-10	3.07142857142857e-11	8.6e-12	2.23479490806223	BP
GO:0019205	nucleobase-containing compound kinase ac...	78	28	6.48	9.3e-12	4.371e-10	4.371e-10	4.371e-10	4.65e-10	1.1625e-10	5.23032620580796e-10	1.1625e-10	9.3e-12	4.32098765432099	MF
GO:0061060	negative regulation of peptidoglycan rec...	101	32	8.38	1.4e-11	5.04e-10	5.04e-10	4.76e-10	7e-10	4.66666666666667e-11	2.09962915788707e-10	4.66666666666667e-11	1.4e-11	3.81861575178998	BP
GO:0005920	smooth septate junction	64	25	5.33	1.5e-11	7.05e-10	7.05e-10	7.05e-10	7.5e-10	1.875e-10	8.43601000936767e-10	1.875e-10	1.5e-11	4.69043151969981	CC
GO:0009629	response to gravity	121	35	10.04	2.9e-11	1.015e-09	9.86e-10	8.99e-10	1.45e-09	8.52941176470588e-11	3.83755749445745e-10	8.52941176470588e-11	2.9e-11	3.48605577689243	BP
GO:0042332	gravitaxis	121	35	10.04	2.9e-11	1.015e-09	9.86e-10	8.99e-10	1.45e-09	8.52941176470588e-11	3.83755749445745e-10	8.52941176470588e-11	2.9e-11	3.48605577689243	BP
GO:1900425	negative regulation of defense response ...	104	32	8.63	3.4e-11	1.122e-09	1.122e-09	1.054e-09	1.7e-09	9.44444444444444e-11	4.24924948620001e-10	9.44444444444444e-11	3.4e-11	3.70799536500579	BP
GO:0009161	ribonucleoside monophosphate metabolic p...	106	32	8.8	5.9e-11	1.888e-09	1.888e-09	1.77e-09	2.95e-09	1.55263157894737e-10	6.98560828845884e-10	1.55263157894737e-10	5.9e-11	3.63636363636364	BP
