GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0003993	acid phosphatase activity	17	4	0.1	2.6e-06	0.00013	0.00013	0.00013	0.00013	0.00013	0.000584896693982825	0.00013	2.6e-06	40	MF
GO:0030858	positive regulation of epithelial cell d...	3	2	0.02	9.5e-05	0.00475	0.00475	0.004465	0.00475	0.0025	0.0112480133458236	0.0025	9.5e-05	100	BP
GO:0031965	nuclear membrane	180	7	1.1	0.00012	0.006	0.006	0.006	0.006	0.006	0.0269952320299765	0.006	0.00012	6.36363636363636	CC
GO:0018023	peptidyl-lysine trimethylation	18	3	0.1	0.00014	0.00686	0.00566	0.005434	0.007	0.0025	0.0112480133458236	0.0025	0.00014	30	BP
GO:0044205	'de novo' UMP biosynthetic process	4	2	0.02	0.00019	0.00912	0.00566	0.00566	0.0095	0.0025	0.0112480133458236	0.0025	0.00019	100	BP
GO:0016057	regulation of membrane potential in phot...	94	5	0.53	0.00020	0.0094	0.00566	0.00566	0.01	0.0025	0.0112480133458236	0.0025	2e-04	9.43396226415094	BP
GO:0016278	lysine N-methyltransferase activity	52	4	0.31	0.00026	0.01274	0.01248	0.01222	0.013	0.003625	0.0163096193514442	0.003625	0.00026	12.9032258064516	MF
GO:0016279	protein-lysine N-methyltransferase activ...	52	4	0.31	0.00026	0.01274	0.01248	0.01222	0.013	0.003625	0.0163096193514442	0.003625	0.00026	12.9032258064516	MF
GO:0016286	small conductance calcium-activated pota...	22	3	0.13	0.00029	0.01363	0.01363	0.01334	0.0145	0.003625	0.0163096193514442	0.003625	0.00029	23.0769230769231	MF
GO:0045956	positive regulation of calcium ion-depen...	5	2	0.03	0.00031	0.01426	0.00566	0.00566	0.0155	0.00258333333333333	0.0116229471240177	0.00258333333333333	0.00031	66.6666666666667	BP
GO:0051256	mitotic spindle midzone assembly	5	2	0.03	0.00031	0.01426	0.00566	0.00566	0.0155	0.00258333333333333	0.0116229471240177	0.00258333333333333	0.00031	66.6666666666667	BP
GO:0035301	Hedgehog signaling complex	5	2	0.03	0.00036	0.01764	0.01764	0.01764	0.018	0.009	0.0404928480449648	0.009	0.00036	66.6666666666667	CC
GO:0032837	distributive segregation	7	2	0.04	0.00066	0.02904	0.00566	0.00566	0.033	0.004125	0.0185592220206089	0.004125	0.00066	50	BP
GO:1903307	positive regulation of regulated secreto...	7	2	0.04	0.00066	0.02904	0.00566	0.00566	0.033	0.004125	0.0185592220206089	0.004125	0.00066	50	BP
GO:0051255	spindle midzone assembly	8	2	0.05	0.00087	0.03654	0.00566	0.00566	0.0435	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00087	40	BP
GO:0008140	cAMP response element binding protein bi...	8	2	0.05	0.00095	0.0437	0.0235	0.0219876923076923	0.0475	0.0095	0.0427424507141295	0.0095	0.00095	40	MF
GO:0006222	UMP biosynthetic process	9	2	0.05	0.00112	0.04592	0.00566	0.00566	0.056	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00112	40	BP
GO:0035217	labial disc development	9	2	0.05	0.00112	0.04592	0.00566	0.00566	0.056	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00112	40	BP
GO:0046049	UMP metabolic process	9	2	0.05	0.00112	0.04592	0.00566	0.00566	0.056	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00112	40	BP
GO:0006207	'de novo' pyrimidine nucleobase biosynth...	10	2	0.06	0.00139	0.05282	0.00566	0.00566	0.0695	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00139	33.3333333333333	BP
GO:0009173	pyrimidine ribonucleoside monophosphate ...	10	2	0.06	0.00139	0.05282	0.00566	0.00566	0.0695	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00139	33.3333333333333	BP
GO:0009174	pyrimidine ribonucleoside monophosphate ...	10	2	0.06	0.00139	0.05282	0.00566	0.00566	0.0695	0.00463333333333333	0.020846318067593	0.00463333333333333	0.00139	33.3333333333333	BP
GO:0008276	protein methyltransferase activity	82	4	0.49	0.00144	0.0648	0.0235	0.0235	0.072	0.0099375	0.0447108530496487	0.0099375	0.00144	8.16326530612245	MF
GO:0008170	N-methyltransferase activity	84	4	0.5	0.00158	0.06952	0.0235	0.0235	0.079	0.0099375	0.0447108530496487	0.0099375	0.00158	8	MF
GO:0034452	dynactin binding	39	3	0.23	0.00159	0.06952	0.0235	0.0235	0.0795	0.0099375	0.0447108530496487	0.0099375	0.00159	13.0434782608696	MF
GO:0031638	zymogen activation	11	2	0.06	0.00169	0.05915	0.00566	0.00566	0.0845	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00169	33.3333333333333	BP
GO:0042800	histone H3K4 methyltransferase activity	11	2	0.07	0.00185	0.0777	0.0235	0.0235	0.0925	0.0102777777777778	0.0462418326439413	0.0102777777777778	0.00185	28.5714285714286	MF
GO:0090329	regulation of DNA-templated DNA replicat...	46	3	0.26	0.00225	0.0765	0.00566	0.00566	0.1125	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00225	11.5384615384615	BP
GO:0034113	heterotypic cell-cell adhesion	13	2	0.07	0.00238	0.07854	0.00566	0.00566	0.119	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00238	28.5714285714286	BP
GO:0034114	regulation of heterotypic cell-cell adhe...	13	2	0.07	0.00238	0.07854	0.00566	0.00566	0.119	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00238	28.5714285714286	BP
GO:0034116	positive regulation of heterotypic cell-...	13	2	0.07	0.00238	0.07854	0.00566	0.00566	0.119	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00238	28.5714285714286	BP
GO:1900087	positive regulation of G1/S transition o...	13	2	0.07	0.00238	0.07854	0.00566	0.00566	0.119	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00238	28.5714285714286	BP
GO:1902808	positive regulation of cell cycle G1/S p...	13	2	0.07	0.00238	0.07854	0.00566	0.00566	0.119	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00238	28.5714285714286	BP
GO:0042391	regulation of membrane potential	510	9	2.89	0.00252	0.07854	0.00566	0.00566	0.126	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00252	3.11418685121107	BP
GO:0019856	pyrimidine nucleobase biosynthetic proce...	14	2	0.08	0.00277	0.07854	0.00566	0.00566	0.1385	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00277	25	BP
GO:0030174	regulation of DNA-templated DNA replicat...	14	2	0.08	0.00277	0.07854	0.00566	0.00566	0.1385	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00277	25	BP
GO:0035221	genital disc pattern formation	14	2	0.08	0.00277	0.07854	0.00566	0.00566	0.1385	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00277	25	BP
GO:0035224	genital disc anterior/posterior pattern ...	14	2	0.08	0.00277	0.07854	0.00566	0.00566	0.1385	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00277	25	BP
GO:0045503	dynein light chain binding	48	3	0.28	0.00290	0.1189	0.0235	0.0235	0.145	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.0029	10.7142857142857	MF
GO:0009129	pyrimidine nucleoside monophosphate meta...	15	2	0.08	0.00318	0.07854	0.00566	0.00566	0.159	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00318	25	BP
GO:0009130	pyrimidine nucleoside monophosphate bios...	15	2	0.08	0.00318	0.07854	0.00566	0.00566	0.159	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00318	25	BP
GO:0034110	regulation of homotypic cell-cell adhesi...	15	2	0.08	0.00318	0.07854	0.00566	0.00566	0.159	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00318	25	BP
GO:0045921	positive regulation of exocytosis	15	2	0.08	0.00318	0.07854	0.00566	0.00566	0.159	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00318	25	BP
GO:0001703	gastrulation with mouth forming first	107	4	0.61	0.00323	0.07854	0.00566	0.00566	0.1615	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00323	6.55737704918033	BP
GO:0010004	gastrulation involving germ band extensi...	107	4	0.61	0.00323	0.07854	0.00566	0.00566	0.1615	0.00489393939393939	0.0220188382466728	0.00489393939393939	0.00323	6.55737704918033	BP
GO:0009881	photoreceptor activity	51	3	0.3	0.00344	0.1376	0.0235	0.0235	0.172	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00344	10	MF
GO:0005635	nuclear envelope	320	7	1.95	0.00350	0.168	0.05921	0.056790625	0.175	0.0482307692307692	0.217000134394812	0.0482307692307692	0.0035	3.58974358974359	CC
GO:0018022	peptidyl-lysine methylation	110	4	0.62	0.00357	0.07854	0.00566	0.00566	0.1785	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00357	6.45161290322581	BP
GO:1990504	dense core granule exocytosis	16	2	0.09	0.00362	0.07854	0.00566	0.00566	0.181	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00362	22.2222222222222	BP
GO:0034501	protein localization to kinetochore	56	3	0.32	0.00395	0.07854	0.00566	0.00566	0.1975	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00395	9.375	BP
GO:0071459	protein localization to chromosome, cent...	56	3	0.32	0.00395	0.07854	0.00566	0.00566	0.1975	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00395	9.375	BP
GO:1903083	protein localization to condensed chromo...	56	3	0.32	0.00395	0.07854	0.00566	0.00566	0.1975	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00395	9.375	BP
GO:0040005	chitin-based cuticle attachment to epith...	17	2	0.1	0.00409	0.07854	0.00566	0.00566	0.2045	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00409	20	BP
GO:2000495	regulation of cell proliferation involve...	17	2	0.1	0.00409	0.07854	0.00566	0.00566	0.2045	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00409	20	BP
GO:0006260	DNA replication	186	5	1.05	0.00418	0.07854	0.00566	0.00566	0.209	0.00509756097560976	0.0229349735539232	0.00509756097560976	0.00418	4.76190476190476	BP
GO:0007370	ventral furrow formation	58	3	0.33	0.00436	0.07854	0.00566	0.00566	0.218	0.00519047619047619	0.0233530181846623	0.00519047619047619	0.00436	9.09090909090909	BP
GO:0045504	dynein heavy chain binding	56	3	0.33	0.00449	0.17511	0.0235	0.0235	0.2245	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00449	9.09090909090909	MF
GO:0006206	pyrimidine nucleobase metabolic process	18	2	0.1	0.00459	0.07854	0.00566	0.00566	0.2295	0.00533720930232558	0.0240132005848047	0.00533720930232558	0.00459	20	BP
GO:0006284	base-excision repair	20	2	0.11	0.00565	0.07854	0.00566	0.00566	0.2825	0.00566	0.0254655022149445	0.00566	0.00565	18.1818181818182	BP
GO:0019240	citrulline biosynthetic process	1	1	0.01	0.00566	0.07854	0.00566	0.00566	0.283	0.00566	0.0254655022149445	0.00566	0.00566	100	BP
GO:0035871	protein K11-linked deubiquitination	1	1	0.01	0.00566	0.07854	0.00566	0.00566	0.283	0.00566	0.0254655022149445	0.00566	0.00566	100	BP
GO:0044313	protein K6-linked deubiquitination	1	1	0.01	0.00566	0.07854	0.00566	0.00566	0.283	0.00566	0.0254655022149445	0.00566	0.00566	100	BP
GO:0060097	cytoskeletal rearrangement involved in p...	1	1	0.01	0.00566	0.07854	0.00566	0.00566	0.283	0.00566	0.0254655022149445	0.00566	0.00566	100	BP
GO:1904685	positive regulation of metalloendopeptid...	1	1	0.01	0.00566	0.07854	0.00566	0.00566	0.283	0.00566	0.0254655022149445	0.00566	0.00566	100	BP
GO:1990456	mitochondrion-endoplasmic reticulum memb...	1	1	0.01	0.00566	0.07854	0.00566	0.00566	0.283	0.00566	0.0254655022149445	0.00566	0.00566	100	BP
GO:0002058	uracil binding	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0002061	pyrimidine nucleobase binding	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0004070	aspartate carbamoyltransferase activity	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0004088	carbamoyl-phosphate synthase (glutamine-...	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0004151	dihydroorotase activity	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0004468	lysine N-acetyltransferase activity, act...	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0005052	peroxisome matrix targeting signal-1 bin...	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0016743	carboxyl- or carbamoyltransferase activi...	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0017113	dihydropyrimidine dehydrogenase (NADP+) ...	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0046972	histone H4K16 acetyltransferase activity	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0051750	delta(3,5)-delta(2,4)-dienoyl-CoA isomer...	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0070406	glutamine binding	1	1	0.01	0.00593	0.22534	0.0235	0.0235	0.2965	0.0123541666666667	0.0555839326172781	0.0123541666666667	0.00593	100	MF
GO:0070381	endosome to plasma membrane transport ve...	1	1	0.01	0.00608	0.28576	0.05921	0.05921	0.304	0.0482307692307692	0.217000134394812	0.0482307692307692	0.00608	100	CC
GO:0016741	transferase activity, transferring one-c...	197	5	1.17	0.00644	0.22534	0.0235	0.0235	0.322	0.0128448275862069	0.0577915168457831	0.0128448275862069	0.00644	4.27350427350427	MF
GO:0016791	phosphatase activity	373	7	2.21	0.00691	0.22534	0.0235	0.0235	0.3455	0.0128448275862069	0.0577915168457831	0.0128448275862069	0.00691	3.16742081447964	MF
