GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0099634	postsynaptic specialization membrane	43	26	4.06	1.7e-16	8.5e-15	8.5e-15	8.5e-15	8.5e-15	8.5e-15	3.82432453758001e-14	8.5e-15	1.7e-16	6.40394088669951	CC
GO:0046037	GMP metabolic process	51	28	4.79	3.3e-16	1.65e-14	1.65e-14	1.65e-14	1.65e-14	1.65e-14	7.42368880824355e-14	1.65e-14	3.3e-16	5.8455114822547	BP
GO:0098839	postsynaptic density membrane	41	25	3.87	4.9e-16	2.401e-14	2.401e-14	2.401e-14	2.45e-14	1.225e-14	5.51152653945355e-14	1.225e-14	4.9e-16	6.45994832041344	CC
GO:0046710	GDP metabolic process	49	27	4.6	9.9e-16	4.851e-14	4.851e-14	4.851e-14	4.95e-14	2.475e-14	1.11355332123653e-13	2.475e-14	9.9e-16	5.8695652173913	BP
GO:0004385	guanylate kinase activity	49	27	4.61	1.0e-15	5e-14	5e-14	5e-14	5e-14	5e-14	2.24960266916471e-13	5e-14	1e-15	5.85683297180043	MF
GO:0009135	purine nucleoside diphosphate metabolic ...	51	27	4.79	3.8e-15	1.824e-13	1.786e-13	1.786e-13	1.9e-13	4.75e-14	2.13712253570648e-13	4.75e-14	3.8e-15	5.63674321503132	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	51	27	4.79	3.8e-15	1.824e-13	1.786e-13	1.786e-13	1.9e-13	4.75e-14	2.13712253570648e-13	4.75e-14	3.8e-15	5.63674321503132	BP
GO:0046956	positive phototaxis	42	24	3.94	1.3e-14	5.98e-13	5.85e-13	5.72e-13	6.5e-13	1.08333333333333e-13	4.87413911652354e-13	1.08333333333333e-13	1.3e-14	6.09137055837564	BP
GO:0052128	positive energy taxis	42	24	3.94	1.3e-14	5.98e-13	5.85e-13	5.72e-13	6.5e-13	1.08333333333333e-13	4.87413911652354e-13	1.08333333333333e-13	1.3e-14	6.09137055837564	BP
GO:0009185	ribonucleoside diphosphate metabolic pro...	54	27	5.07	2.4e-14	1.056e-12	1.056e-12	1.056e-12	1.2e-12	1.71428571428571e-13	7.71292343713616e-13	1.71428571428571e-13	2.4e-14	5.32544378698225	BP
GO:0009132	nucleoside diphosphate metabolic process	60	27	5.63	6.3e-13	2.709e-11	2.709e-11	2.646e-11	3.15e-11	3.9375e-12	1.77156210196721e-11	3.9375e-12	6.3e-13	4.79573712255773	BP
GO:0061689	tricellular tight junction	52	25	4.91	8.0e-13	3.84e-11	3.84e-11	3.84e-11	4e-11	1.33333333333333e-11	5.9989404511059e-11	1.33333333333333e-11	8e-13	5.09164969450102	CC
GO:0045197	establishment or maintenance of epitheli...	173	49	16.24	9.1e-13	3.822e-11	3.822e-11	3.822e-11	4.55e-11	5.05555555555555e-12	2.27459825437765e-11	5.05555555555555e-12	9.1e-13	3.01724137931035	BP
GO:0050145	nucleoside monophosphate kinase activity	61	27	5.74	1.1e-12	5.39e-11	5.39e-11	5.39e-11	5.5e-11	2.75e-11	1.23728146804059e-10	2.75e-11	1.1e-12	4.70383275261324	MF
GO:0009126	purine nucleoside monophosphate metaboli...	88	32	8.26	5.5e-12	2.255e-10	2.2e-10	2.2e-10	2.75e-10	2.5e-11	1.12480133458236e-10	2.5e-11	5.5e-12	3.87409200968523	BP
GO:0009167	purine ribonucleoside monophosphate meta...	88	32	8.26	5.5e-12	2.255e-10	2.2e-10	2.2e-10	2.75e-10	2.5e-11	1.12480133458236e-10	2.5e-11	5.5e-12	3.87409200968523	BP
GO:0035088	establishment or maintenance of apical/b...	189	49	17.74	3.1e-11	1.209e-09	1.178e-09	1.147e-09	1.55e-09	1.19230769230769e-10	5.36443713416201e-10	1.19230769230769e-10	3.1e-11	2.76211950394589	BP
GO:0061245	establishment or maintenance of bipolar ...	189	49	17.74	3.1e-11	1.209e-09	1.178e-09	1.147e-09	1.55e-09	1.19230769230769e-10	5.36443713416201e-10	1.19230769230769e-10	3.1e-11	2.76211950394589	BP
GO:0009161	ribonucleoside monophosphate metabolic p...	106	34	9.95	6.7e-11	2.479e-09	2.479e-09	2.412e-09	3.35e-09	2.39285714285714e-10	1.07659556310026e-09	2.39285714285714e-10	6.7e-11	3.41708542713568	BP
GO:0061060	negative regulation of peptidoglycan rec...	101	33	9.48	7.3e-11	2.628e-09	2.628e-09	2.628e-09	3.65e-09	2.43333333333333e-10	1.09480663232683e-09	2.43333333333333e-10	7.3e-11	3.48101265822785	BP
GO:0016776	phosphotransferase activity, phosphate g...	102	33	9.6	1.0e-10	4.8e-09	4.8e-09	4.7e-09	5e-09	1.66666666666667e-09	7.49867556388238e-09	1.66666666666667e-09	1e-10	3.4375	MF
GO:1900425	negative regulation of defense response ...	104	33	9.76	1.7e-10	5.95e-09	5.95e-09	5.95e-09	8.5e-09	5.3125e-10	2.39020283598751e-09	5.3125e-10	1.7e-10	3.38114754098361	BP
GO:0019205	nucleobase-containing compound kinase ac...	78	28	7.34	1.7e-10	7.99e-09	7.99e-09	7.99e-09	8.5e-09	2.125e-09	9.56081134395003e-09	2.125e-09	1.7e-10	3.81471389645777	MF
GO:0005920	smooth septate junction	64	25	6.05	2.2e-10	1.034e-08	1.034e-08	1.034e-08	1.1e-08	2.75e-09	1.23728146804059e-08	2.75e-09	2.2e-10	4.13223140495868	CC
GO:0007619	courtship behavior	426	81	39.99	5.5e-10	1.87e-08	1.87e-08	1.62e-08	2.75e-08	1.61764705882353e-09	7.27812628259172e-09	1.61764705882353e-09	5.5e-10	2.02550637659415	BP
GO:0009629	response to gravity	121	35	11.36	8.4e-10	2.772e-08	2.688e-08	2.352e-08	4.2e-08	2.21052631578947e-09	9.94561180051768e-09	2.21052631578947e-09	8.4e-10	3.08098591549296	BP
GO:0042332	gravitaxis	121	35	11.36	8.4e-10	2.772e-08	2.688e-08	2.352e-08	4.2e-08	2.21052631578947e-09	9.94561180051768e-09	2.21052631578947e-09	8.4e-10	3.08098591549296	BP
