GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0046037	GMP metabolic process	51	28	3.85	1.1e-18	5.5e-17	5.5e-17	5.5e-17	5.5e-17	5.5e-17	2.47456293608118e-16	5.5e-17	1.1e-18	7.27272727272727	BP
GO:0098839	postsynaptic density membrane	41	25	3.11	2.6e-18	1.3e-16	1.3e-16	1.3e-16	1.3e-16	1.3e-16	5.84896693982825e-16	1.3e-16	2.6e-18	8.03858520900322	CC
GO:0046710	GDP metabolic process	49	27	3.7	4.1e-18	2.009e-16	2.009e-16	2.009e-16	2.05e-16	1.025e-16	4.61168547178766e-16	1.025e-16	4.1e-18	7.2972972972973	BP
GO:0004385	guanylate kinase activity	49	27	3.72	4.6e-18	2.3e-16	2.3e-16	2.3e-16	2.3e-16	2.3e-16	1.03481722781577e-15	2.3e-16	4.6e-18	7.25806451612903	MF
GO:0099634	postsynaptic specialization membrane	43	25	3.26	1.3e-17	6.37e-16	6.37e-16	6.37e-16	6.5e-16	3.25e-16	1.46224173495706e-15	3.25e-16	1.3e-17	7.66871165644172	CC
GO:0009135	purine nucleoside diphosphate metabolic ...	51	27	3.85	1.6e-17	7.68e-16	7.52e-16	7.52e-16	8e-16	2e-16	8.99841067665885e-16	2e-16	1.6e-17	7.01298701298701	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	51	27	3.85	1.6e-17	7.68e-16	7.52e-16	7.52e-16	8e-16	2e-16	8.99841067665885e-16	2e-16	1.6e-17	7.01298701298701	BP
GO:0046956	positive phototaxis	42	24	3.17	9.6e-17	4.416e-15	4.32e-15	4.224e-15	4.8e-15	7.85714285714286e-16	3.53508990868741e-15	7.85714285714286e-16	9.6e-17	7.57097791798107	BP
GO:0052128	positive energy taxis	42	24	3.17	9.6e-17	4.416e-15	4.32e-15	4.224e-15	4.8e-15	7.85714285714286e-16	3.53508990868741e-15	7.85714285714286e-16	9.6e-17	7.57097791798107	BP
GO:0009185	ribonucleoside diphosphate metabolic pro...	54	27	4.08	1.1e-16	4.84e-15	4.84e-15	4.84e-15	5.5e-15	7.85714285714286e-16	3.53508990868741e-15	7.85714285714286e-16	1.1e-16	6.61764705882353	BP
GO:0045197	establishment or maintenance of epitheli...	173	48	13.07	1.1e-15	4.73e-14	4.73e-14	4.73e-14	5.5e-14	6.875e-15	3.09320367010148e-14	6.875e-15	1.1e-15	3.672532517215	BP
GO:0009132	nucleoside diphosphate metabolic process	60	27	4.53	3.2e-15	1.344e-13	1.344e-13	1.344e-13	1.6e-13	1.77777777777778e-14	7.9985872681412e-14	1.77777777777778e-14	3.2e-15	5.96026490066225	BP
GO:0061689	tricellular tight junction	52	25	3.94	5.2e-15	2.496e-13	2.496e-13	2.496e-13	2.6e-13	8.66666666666667e-14	3.89931129321884e-13	8.66666666666667e-14	5.2e-15	6.34517766497462	CC
GO:0050145	nucleoside monophosphate kinase activity	61	27	4.63	6.0e-15	2.94e-13	2.94e-13	2.94e-13	3e-13	1.5e-13	6.74880800749414e-13	1.5e-13	6e-15	5.83153347732181	MF
GO:0009126	purine nucleoside monophosphate metaboli...	88	32	6.65	1.5e-14	6.15e-13	6e-13	5.86666666666667e-13	7.5e-13	6.81818181818182e-14	3.06764000340643e-13	6.81818181818182e-14	1.5e-14	4.81203007518797	BP
GO:0009167	purine ribonucleoside monophosphate meta...	88	32	6.65	1.5e-14	6.15e-13	6e-13	5.86666666666667e-13	7.5e-13	6.81818181818182e-14	3.06764000340643e-13	6.81818181818182e-14	1.5e-14	4.81203007518797	BP
GO:0035088	establishment or maintenance of apical/b...	189	48	14.28	4.4e-14	1.716e-12	1.672e-12	1.672e-12	2.2e-12	1.69230769230769e-13	7.61403980332672e-13	1.69230769230769e-13	4.4e-14	3.36134453781513	BP
GO:0061245	establishment or maintenance of bipolar ...	189	48	14.28	4.4e-14	1.716e-12	1.672e-12	1.672e-12	2.2e-12	1.69230769230769e-13	7.61403980332672e-13	1.69230769230769e-13	4.4e-14	3.36134453781513	BP
GO:0016776	phosphotransferase activity, phosphate g...	102	33	7.74	3.1e-13	1.488e-11	1.488e-11	1.488e-11	1.55e-11	5.16666666666667e-12	2.32458942480354e-11	5.16666666666667e-12	3.1e-13	4.26356589147287	MF
GO:0007619	courtship behavior	426	77	32.19	5.7e-13	2.109e-11	2.109e-11	2.109e-11	2.85e-11	2.03571428571429e-12	9.15909658159919e-12	2.03571428571429e-12	5.7e-13	2.39204721963343	BP
GO:0019205	nucleobase-containing compound kinase ac...	78	28	5.92	1.0e-12	4.7e-11	4.7e-11	4.7e-11	5e-11	1.25e-11	5.62400667291178e-11	1.25e-11	1e-12	4.72972972972973	MF
GO:0061060	negative regulation of peptidoglycan rec...	101	32	7.63	1.2e-12	4.32e-11	4.32e-11	4.32e-11	6e-11	4e-12	1.79968213533177e-11	4e-12	1.2e-12	4.19397116644823	BP
GO:0005920	smooth septate junction	64	25	4.85	1.8e-12	8.46e-11	8.46e-11	8.46e-11	9e-11	2.25e-11	1.01232120112412e-10	2.25e-11	1.8e-12	5.15463917525773	CC
GO:1900425	negative regulation of defense response ...	104	32	7.86	2.9e-12	1.015e-10	1.015e-10	9.86e-11	1.45e-10	9.0625e-12	4.07740483786104e-11	9.0625e-12	2.9e-12	4.07124681933842	BP
GO:0009161	ribonucleoside monophosphate metabolic p...	106	32	8.01	5.1e-12	1.734e-10	1.734e-10	1.632e-10	2.55e-10	1.5e-11	6.74880800749414e-11	1.5e-11	5.1e-12	3.99500624219725	BP
GO:0009453	energy taxis	79	27	5.97	9.1e-12	3.003e-10	2.912e-10	2.912e-10	4.55e-10	2.39473684210526e-11	1.07744127838941e-10	2.39473684210526e-11	9.1e-12	4.52261306532663	BP
GO:0042331	phototaxis	79	27	5.97	9.1e-12	3.003e-10	2.912e-10	2.912e-10	4.55e-10	2.39473684210526e-11	1.07744127838941e-10	2.39473684210526e-11	9.1e-12	4.52261306532663	BP
GO:2001262	positive regulation of semaphorin-plexin...	26	15	1.96	4.9e-11	1.519e-09	1.479e-09	1.2825e-09	2.45e-09	1.15909090909091e-10	5.21498800579092e-10	1.15909090909091e-10	4.9e-11	7.6530612244898	BP
GO:0009629	response to gravity	121	33	9.14	5.1e-11	1.53e-09	1.479e-09	1.326e-09	2.55e-09	1.15909090909091e-10	5.21498800579092e-10	1.15909090909091e-10	5.1e-11	3.61050328227571	BP
GO:0042332	gravitaxis	121	33	9.14	5.1e-11	1.53e-09	1.479e-09	1.326e-09	2.55e-09	1.15909090909091e-10	5.21498800579092e-10	1.15909090909091e-10	5.1e-11	3.61050328227571	BP
GO:0045175	basal protein localization	85	27	6.42	6.3e-11	1.764e-09	1.764e-09	1.638e-09	3.15e-09	1.3695652173913e-10	6.16195513727726e-10	1.3695652173913e-10	6.3e-11	4.20560747663551	BP
GO:2001260	regulation of semaphorin-plexin signalin...	27	15	2.04	1.0e-10	2.7e-09	2.7e-09	2.4e-09	5e-09	2.08333333333333e-10	9.37334445485297e-10	2.08333333333333e-10	1e-10	7.35294117647059	BP
GO:0008049	male courtship behavior	328	60	24.78	1.3e-10	3.38e-09	3.38e-09	3.12e-09	6.5e-09	2.6e-10	1.16979338796565e-09	2.6e-10	1.3e-10	2.42130750605327	BP
GO:0030714	anterior/posterior axis specification, f...	71	24	5.36	1.7e-10	4.25e-09	4.25e-09	4.08e-09	8.5e-09	3.26923076923077e-10	1.47089405291539e-09	3.26923076923077e-10	1.7e-10	4.47761194029851	BP
GO:0061176	type Ib terminal bouton	71	24	5.38	1.8e-10	8.28e-09	8.28e-09	8.28e-09	9e-09	1.8e-09	8.09856960899296e-09	1.8e-09	1.8e-10	4.46096654275093	CC
GO:0009123	nucleoside monophosphate metabolic proce...	120	32	9.07	1.9e-10	4.56e-09	4.56e-09	4.56e-09	9.5e-09	3.51851851851852e-10	1.58305373015295e-09	3.51851851851852e-10	1.9e-10	3.52811466372657	BP
GO:0016336	establishment or maintenance of polarity...	85	25	6.42	2.0e-09	4.6e-08	4.6e-08	3.315e-08	1e-07	3.57142857142857e-09	1.60685904940337e-08	3.57142857142857e-09	2e-09	3.89408099688474	BP
GO:0045743	positive regulation of fibroblast growth...	32	15	2.42	2.3e-09	5.06e-08	5.06e-08	3.68e-08	1.15e-07	3.96551724137931e-09	1.78416763416512e-08	3.96551724137931e-09	2.3e-09	6.19834710743802	BP
GO:0045199	maintenance of epithelial cell apical/ba...	37	16	2.8	2.9e-09	6.09e-08	6.09e-08	4.35e-08	1.45e-07	4.83333333333333e-09	2.17461591352589e-08	4.83333333333333e-09	2.9e-09	5.71428571428571	BP
GO:0042058	regulation of epidermal growth factor re...	178	38	13.45	4.1e-09	8.2e-08	7.74e-08	5.85e-08	2.05e-07	6.40625e-09	2.88230341986729e-08	6.40625e-09	4.1e-09	2.82527881040892	BP
GO:1901184	regulation of ERBB signaling pathway	178	38	13.45	4.1e-09	8.2e-08	7.74e-08	5.85e-08	2.05e-07	6.40625e-09	2.88230341986729e-08	6.40625e-09	4.1e-09	2.82527881040892	BP
GO:0060179	male mating behavior	358	60	27.05	4.3e-09	8.2e-08	7.74e-08	6.02e-08	2.15e-07	6.51515151515151e-09	2.93130044769947e-08	6.51515151515151e-09	4.3e-09	2.2181146025878	BP
GO:0045471	response to ethanol	283	51	21.38	5.2e-09	8.84e-08	8.84e-08	7.28e-08	2.6e-07	7.64705882352941e-09	3.44056878813427e-08	7.64705882352941e-09	5.2e-09	2.38540692235734	BP
