GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0016057	regulation of membrane potential in phot...	94	5	0.25	4.7e-06	0.000235	0.000235	0.000235	0.000235	0.000235	0.00105731325450741	0.000235	4.7e-06	20	BP
GO:0016286	small conductance calcium-activated pota...	22	3	0.06	2.6e-05	0.0013	0.0013	0.0013	0.0013	0.0013	0.00584896693982825	0.0013	2.6e-05	50	MF
GO:0045956	positive regulation of calcium ion-depen...	5	2	0.01	6.7e-05	0.003283	0.003283	0.003283	0.00335	0.001675	0.00753616894170179	0.001675	6.7e-05	200	BP
GO:1903307	positive regulation of regulated secreto...	7	2	0.02	0.00014	0.00672	0.00672	0.00616	0.007	0.00233333333333333	0.0104981457894353	0.00233333333333333	0.00014	100	BP
GO:0009881	photoreceptor activity	51	3	0.14	0.00034	0.01666	0.01666	0.01666	0.017	0.0085	0.0382432453758001	0.0085	0.00034	21.4285714285714	MF
GO:0031638	zymogen activation	11	2	0.03	0.00036	0.01692	0.00781	0.00776875	0.018	0.0031875	0.014341217015925	0.0031875	0.00036	66.6666666666667	BP
GO:0007632	visual behavior	137	4	0.36	0.00045	0.0207	0.00781	0.00781	0.0225	0.0031875	0.014341217015925	0.0031875	0.00045	11.1111111111111	BP
GO:0034113	heterotypic cell-cell adhesion	13	2	0.03	0.00051	0.02295	0.00781	0.00781	0.0255	0.0031875	0.014341217015925	0.0031875	0.00051	66.6666666666667	BP
GO:0034114	regulation of heterotypic cell-cell adhe...	13	2	0.03	0.00051	0.02295	0.00781	0.00781	0.0255	0.0031875	0.014341217015925	0.0031875	0.00051	66.6666666666667	BP
GO:0034116	positive regulation of heterotypic cell-...	13	2	0.03	0.00051	0.02295	0.00781	0.00781	0.0255	0.0031875	0.014341217015925	0.0031875	0.00051	66.6666666666667	BP
GO:0034110	regulation of homotypic cell-cell adhesi...	15	2	0.04	0.00069	0.02898	0.00781	0.00781	0.0345	0.00345	0.0155222584172365	0.00345	0.00069	50	BP
GO:0045921	positive regulation of exocytosis	15	2	0.04	0.00069	0.02898	0.00781	0.00781	0.0345	0.00345	0.0155222584172365	0.00345	0.00069	50	BP
GO:1990504	dense core granule exocytosis	16	2	0.04	0.00078	0.0312	0.00781	0.00781	0.039	0.00354545454545455	0.0159517280177134	0.00354545454545455	0.00078	50	BP
GO:0043197	dendritic spine	67	3	0.19	0.00087	0.0435	0.04263	0.04002	0.0435	0.0166666666666667	0.0749867556388238	0.0166666666666667	0.00087	15.7894736842105	CC
GO:0044309	neuron spine	67	3	0.19	0.00087	0.0435	0.04263	0.04002	0.0435	0.0166666666666667	0.0749867556388238	0.0166666666666667	0.00087	15.7894736842105	CC
GO:0036477	somatodendritic compartment	926	9	2.58	0.00100	0.048	0.048	0.043	0.05	0.0166666666666667	0.0749867556388238	0.0166666666666667	0.001	3.48837209302326	CC
GO:0015269	calcium-activated potassium channel acti...	77	3	0.2	0.00113	0.05424	0.05424	0.04181	0.0565	0.0165625	0.0745180884160811	0.0165625	0.00113	15	MF
GO:0006836	neurotransmitter transport	463	6	1.21	0.00129	0.05031	0.00781	0.00781	0.0645	0.005375	0.0241832286935207	0.005375	0.00129	4.95867768595041	BP
GO:0034109	homotypic cell-cell adhesion	22	2	0.06	0.00150	0.057	0.00781	0.00781	0.075	0.00576923076923077	0.0259569538749775	0.00576923076923077	0.0015	33.3333333333333	BP
GO:0031965	nuclear membrane	180	4	0.5	0.00160	0.0752	0.06468	0.0533251612903226	0.08	0.02	0.0899841067665885	0.02	0.0016	8	CC
GO:0016200	synaptic target attraction	23	2	0.06	0.00164	0.06068	0.00781	0.00781	0.082	0.0058	0.0260953909623107	0.0058	0.00164	33.3333333333333	BP
GO:0099173	postsynapse organization	91	3	0.24	0.00174	0.06264	0.00781	0.00781	0.087	0.0058	0.0260953909623107	0.0058	0.00174	12.5	BP
GO:0005227	calcium activated cation channel activit...	92	3	0.24	0.00189	0.08883	0.071	0.05859	0.0945	0.0165625	0.0745180884160811	0.0165625	0.00189	12.5	MF
GO:0048036	central complex development	26	2	0.07	0.00209	0.07315	0.00781	0.00781	0.1045	0.00617647058823529	0.0277892094426229	0.00617647058823529	0.00209	28.5714285714286	BP
GO:0042391	regulation of membrane potential	510	6	1.33	0.00210	0.07315	0.00781	0.00781	0.105	0.00617647058823529	0.0277892094426229	0.00617647058823529	0.0021	4.51127819548872	BP
GO:0005509	calcium ion binding	689	7	1.83	0.00225	0.1035	0.071	0.06525	0.1125	0.0165625	0.0745180884160811	0.0165625	0.00225	3.82513661202186	MF
GO:0048786	presynaptic active zone	201	4	0.56	0.00238	0.10948	0.06468	0.0555657142857143	0.119	0.0238	0.10708108705224	0.0238	0.00238	7.14285714285714	CC
GO:0010524	positive regulation of calcium ion trans...	29	2	0.08	0.00260	0.0858	0.00781	0.00781	0.13	0.00620238095238095	0.0279057854913051	0.00620238095238095	0.0026	25	BP
GO:1904685	positive regulation of metalloendopeptid...	1	1	0	0.00261	0.0858	0.00781	0.00781	0.1305	0.00620238095238095	0.0279057854913051	0.00620238095238095	0.00261	Inf	BP
GO:1990456	mitochondrion-endoplasmic reticulum memb...	1	1	0	0.00261	0.0858	0.00781	0.00781	0.1305	0.00620238095238095	0.0279057854913051	0.00620238095238095	0.00261	Inf	BP
GO:0002058	uracil binding	1	1	0	0.00265	0.11925	0.071	0.0686771428571429	0.1325	0.0165625	0.0745180884160811	0.0165625	0.00265	Inf	MF
GO:0002061	pyrimidine nucleobase binding	1	1	0	0.00265	0.11925	0.071	0.0686771428571429	0.1325	0.0165625	0.0745180884160811	0.0165625	0.00265	Inf	MF
GO:0017113	dihydropyrimidine dehydrogenase (NADP+) ...	1	1	0	0.00265	0.11925	0.071	0.0686771428571429	0.1325	0.0165625	0.0745180884160811	0.0165625	0.00265	Inf	MF
GO:0001703	gastrulation with mouth forming first	107	3	0.28	0.00276	0.0858	0.00781	0.00781	0.138	0.00620238095238095	0.0279057854913051	0.00620238095238095	0.00276	10.7142857142857	BP
GO:0010004	gastrulation involving germ band extensi...	107	3	0.28	0.00276	0.0858	0.00781	0.00781	0.138	0.00620238095238095	0.0279057854913051	0.00620238095238095	0.00276	10.7142857142857	BP
GO:0022409	positive regulation of cell-cell adhesio...	31	2	0.08	0.00297	0.0858	0.00781	0.00781	0.1485	0.00620238095238095	0.0279057854913051	0.00620238095238095	0.00297	25	BP
