GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0098839	postsynaptic density membrane	39	25	3.78	1.5e-16	7.5e-15	7.5e-15	7.5e-15	7.5e-15	7.5e-15	3.37440400374707e-14	7.5e-15	1.5e-16	6.61375661375661	CC
GO:0046037	GMP metabolic process	51	28	4.9	5.9e-16	2.95e-14	2.95e-14	2.891e-14	2.95e-14	2.5e-14	1.12480133458236e-13	2.5e-14	5.9e-16	5.71428571428571	BP
GO:0099634	postsynaptic specialization membrane	41	25	3.97	8.7e-16	4.263e-14	4.263e-14	4.176e-14	4.35e-14	1.83333333333333e-14	8.24854312027061e-14	1.83333333333333e-14	8.7e-16	6.29722921914358	CC
GO:0061689	tricellular tight junction	48	27	4.65	1.1e-15	5.28e-14	5.28e-14	5.28e-14	5.5e-14	1.83333333333333e-14	8.24854312027061e-14	1.83333333333333e-14	1.1e-15	5.80645161290323	CC
GO:0046710	GDP metabolic process	49	27	4.71	1.7e-15	8.33e-14	8.33e-14	7.99e-14	8.5e-14	2.5e-14	1.12480133458236e-13	2.5e-14	1.7e-15	5.73248407643312	BP
GO:0004385	guanylate kinase activity	49	27	4.72	1.9e-15	9.5e-14	9.5e-14	9.5e-14	9.5e-14	9.5e-14	4.27424507141295e-13	9.5e-14	1.9e-15	5.72033898305085	MF
GO:0046956	positive phototaxis	39	24	3.75	2.0e-15	9.6e-14	9.4e-14	9.4e-14	1e-13	2.5e-14	1.12480133458236e-13	2.5e-14	2e-15	6.4	BP
GO:0052128	positive energy taxis	39	24	3.75	2.0e-15	9.6e-14	9.4e-14	9.4e-14	1e-13	2.5e-14	1.12480133458236e-13	2.5e-14	2e-15	6.4	BP
GO:0009135	purine nucleoside diphosphate metabolic ...	53	27	5.09	2.3e-14	1.058e-12	1.035e-12	1.035e-12	1.15e-12	1.91666666666667e-13	8.62347689846473e-13	1.91666666666667e-13	2.3e-14	5.30451866404715	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	53	27	5.09	2.3e-14	1.058e-12	1.035e-12	1.035e-12	1.15e-12	1.91666666666667e-13	8.62347689846473e-13	1.91666666666667e-13	2.3e-14	5.30451866404715	BP
GO:0009185	ribonucleoside diphosphate metabolic pro...	56	27	5.38	1.3e-13	5.72e-12	5.72e-12	5.72e-12	6.5e-12	9.28571428571429e-13	4.17783352844875e-12	9.28571428571429e-13	1.3e-13	5.0185873605948	BP
GO:0009132	nucleoside diphosphate metabolic process	62	27	5.96	2.8e-12	1.204e-10	1.204e-10	1.148e-10	1.4e-10	1.75e-11	7.87360934207649e-11	1.75e-11	2.8e-12	4.53020134228188	BP
GO:0009126	purine nucleoside monophosphate metaboli...	86	32	8.26	4.9e-12	2.058e-10	2.009e-10	2.009e-10	2.45e-10	2.45e-11	1.10230530789071e-10	2.45e-11	4.9e-12	3.87409200968523	BP
GO:0009167	purine ribonucleoside monophosphate meta...	86	32	8.26	4.9e-12	2.058e-10	2.009e-10	2.009e-10	2.45e-10	2.45e-11	1.10230530789071e-10	2.45e-11	4.9e-12	3.87409200968523	BP
GO:0050145	nucleoside monophosphate kinase activity	63	27	6.07	4.9e-12	2.401e-10	2.401e-10	2.401e-10	2.45e-10	1.225e-10	5.51152653945355e-10	1.225e-10	4.9e-12	4.44810543657331	MF
GO:0061060	negative regulation of peptidoglycan rec...	88	32	8.45	1.0e-11	4e-10	4e-10	3.8e-10	5e-10	4.54545454545455e-11	2.04509333560428e-10	4.54545454545455e-11	1e-11	3.78698224852071	BP
GO:0016776	phosphotransferase activity, phosphate g...	95	33	9.16	2.3e-11	1.104e-09	1.104e-09	1.104e-09	1.15e-09	3.83333333333333e-10	1.72469537969295e-09	3.83333333333333e-10	2.3e-11	3.60262008733624	MF
GO:0009629	response to gravity	111	36	10.66	2.5e-11	9.75e-10	9.5e-10	9.25e-10	1.25e-09	9.61538461538462e-11	4.32615897916291e-10	9.61538461538462e-11	2.5e-11	3.37711069418386	BP
GO:0042332	gravitaxis	111	36	10.66	2.5e-11	9.75e-10	9.5e-10	9.25e-10	1.25e-09	9.61538461538462e-11	4.32615897916291e-10	9.61538461538462e-11	2.5e-11	3.37711069418386	BP
GO:1900425	negative regulation of defense response ...	91	32	8.74	2.8e-11	1.036e-09	1.036e-09	1.036e-09	1.4e-09	1e-10	4.49920533832942e-10	1e-10	2.8e-11	3.66132723112128	BP
GO:0005920	smooth septate junction	61	25	5.91	1.1e-10	5.17e-09	5.17e-09	5.17e-09	5.5e-09	1.375e-09	6.18640734020296e-09	1.375e-09	1.1e-10	4.23011844331641	CC
