GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0019887	protein kinase regulator activity	134	9	1.3	6.6e-06	0.00033	0.00033	0.0003102	0.00033	0.0001375	0.000618640734020296	0.0001375	6.6e-06	6.92307692307692	MF
GO:0120187	positive regulation of protein localizat...	5	3	0.05	8.4e-06	0.00042	0.00042	0.0004116	0.00042	0.00024	0.00107980928119906	0.00024	8.4e-06	60	BP
GO:0035301	Hedgehog signaling complex	5	3	0.05	9e-06	0.00045	0.00045	0.00045	0.00045	0.00045	0.00202464240224824	0.00045	9e-06	60	CC
GO:0034502	protein localization to chromosome	78	7	0.74	9.6e-06	0.0004704	0.0004704	0.0004608	0.00048	0.00024	0.00107980928119906	0.00024	9.6e-06	9.45945945945946	BP
GO:0019900	kinase binding	402	15	3.9	9.8e-06	0.0004802	0.00048	0.0004606	0.00049	0.0001375	0.000618640734020296	0.0001375	9.8e-06	3.84615384615385	MF
GO:0019901	protein kinase binding	354	14	3.44	1.0e-05	0.0004802	0.00048	0.00047	5e-04	0.0001375	0.000618640734020296	0.0001375	1e-05	4.06976744186047	MF
GO:0019207	kinase regulator activity	143	9	1.39	1.1e-05	0.000517	0.000517	0.000517	0.00055	0.0001375	0.000618640734020296	0.0001375	1.1e-05	6.47482014388489	MF
GO:0007064	mitotic sister chromatid cohesion	17	4	0.16	1.7e-05	0.000816	0.000816	0.000782	0.00085	0.000283333333333333	0.00127477484586	0.000283333333333333	1.7e-05	25	BP
GO:0007171	activation of transmembrane receptor pro...	7	3	0.07	2.9e-05	0.001363	0.001363	0.00125052631578947	0.00145	0.0003625	0.00163096193514442	0.0003625	2.9e-05	42.8571428571429	BP
GO:0030297	transmembrane receptor protein tyrosine ...	7	3	0.07	3.1e-05	0.001426	0.001426	0.001426	0.00155	0.00031	0.00139475365488212	0.00031	3.1e-05	42.8571428571429	MF
GO:0034086	maintenance of sister chromatid cohesion	8	3	0.08	4.6e-05	0.002116	0.00207	0.001665	0.0023	0.000383333333333333	0.00172469537969295	0.000383333333333333	4.6e-05	37.5	BP
