GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0099634	postsynaptic specialization membrane	41	26	4.19	2.2e-16	1.1e-14	1.1e-14	1.1e-14	1.1e-14	1.1e-14	4.94912587216237e-14	1.1e-14	2.2e-16	6.20525059665871	CC
GO:0098839	postsynaptic density membrane	39	25	3.99	5.6e-16	2.744e-14	2.744e-14	2.744e-14	2.8e-14	1.4e-14	6.2988874736612e-14	1.4e-14	5.6e-16	6.265664160401	CC
GO:0046037	GMP metabolic process	51	28	5.18	2.5e-15	1.25e-13	1.25e-13	1.2e-13	1.25e-13	8.875e-14	3.99304473776736e-13	8.875e-14	2.5e-15	5.40540540540541	BP
GO:0061689	tricellular tight junction	48	27	4.91	4.2e-15	2.016e-13	2.016e-13	2.016e-13	2.1e-13	7e-14	3.1494437368306e-13	7e-14	4.2e-15	5.4989816700611	CC
GO:0046710	GDP metabolic process	49	27	4.98	7.0e-15	3.43e-13	3.337e-13	3.29e-13	3.5e-13	8.875e-14	3.99304473776736e-13	8.875e-14	7e-15	5.42168674698795	BP
GO:0046956	positive phototaxis	39	24	3.96	7.1e-15	3.43e-13	3.337e-13	3.337e-13	3.55e-13	8.875e-14	3.99304473776736e-13	8.875e-14	7.1e-15	6.06060606060606	BP
GO:0052128	positive energy taxis	39	24	3.96	7.1e-15	3.43e-13	3.337e-13	3.337e-13	3.55e-13	8.875e-14	3.99304473776736e-13	8.875e-14	7.1e-15	6.06060606060606	BP
GO:0004385	guanylate kinase activity	49	27	4.99	7.5e-15	3.75e-13	3.75e-13	3.75e-13	3.75e-13	3.75e-13	1.68720200187353e-12	3.75e-13	7.5e-15	5.41082164328657	MF
GO:0009135	purine nucleoside diphosphate metabolic ...	53	27	5.38	9.1e-14	4.186e-12	4.095e-12	4.095e-12	4.55e-12	7.58333333333333e-13	3.41189738156648e-12	7.58333333333333e-13	9.1e-14	5.0185873605948	BP
GO:0009179	purine ribonucleoside diphosphate metabo...	53	27	5.38	9.1e-14	4.186e-12	4.095e-12	4.095e-12	4.55e-12	7.58333333333333e-13	3.41189738156648e-12	7.58333333333333e-13	9.1e-14	5.0185873605948	BP
