GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0042254	ribosome biogenesis	270	237	160.98	1.1e-24	5.5e-23	5.5e-23	5.5e-23	5.5e-23	5.5e-23	2.47456293608118e-22	5.5e-23	1.1e-24	1.47223257547521	BP
GO:0034660	ncRNA metabolic process	523	407	311.83	3.7e-19	1.813e-17	1.813e-17	1.813e-17	1.85e-17	9.25e-18	4.16176493795472e-17	9.25e-18	3.7e-19	1.30519834525222	BP
GO:0022613	ribonucleoprotein complex biogenesis	453	357	270.09	1.5e-18	7.2e-17	7.2e-17	7.2e-17	7.5e-17	2.5e-17	1.12480133458236e-16	2.5e-17	1.5e-18	1.32178162834611	BP
GO:0016072	rRNA metabolic process	207	179	123.42	1.9e-17	8.93e-16	8.93e-16	8.93e-16	9.5e-16	2.375e-16	1.06856126785324e-15	2.375e-16	1.9e-17	1.4503321989953	BP
GO:0005739	mitochondrion	1383	973	826.43	1.9e-17	9.5e-16	9.5e-16	9.5e-16	9.5e-16	9.5e-16	4.27424507141295e-15	9.5e-16	1.9e-17	1.17735319385792	CC
GO:0006364	rRNA processing	184	161	109.71	6.8e-17	3.128e-15	3.128e-15	2.992e-15	3.4e-15	6.75e-16	3.03696360337236e-15	6.75e-16	6.8e-17	1.46750524109015	BP
GO:0005840	ribosome	212	182	126.68	7.4e-17	3.626e-15	3.626e-15	3.626e-15	3.7e-15	1.85e-15	8.32352987590944e-15	1.85e-15	7.4e-17	1.43669087464477	CC
GO:0008152	metabolic process	11060	6893	6594.36	8.1e-17	3.645e-15	3.645e-15	3.564e-15	4.05e-15	6.75e-16	3.03696360337236e-15	6.75e-16	8.1e-17	1.04528718480641	BP
GO:0034470	ncRNA processing	418	328	249.23	1.2e-16	5.28e-15	5.28e-15	5.28e-15	6e-15	8.57142857142857e-16	3.85646171856808e-15	8.57142857142857e-16	1.2e-16	1.3160534446094	BP
GO:0044391	ribosomal subunit	189	164	112.94	2.8e-16	1.344e-14	1.344e-14	1.344e-14	1.4e-14	4.66666666666667e-15	2.09962915788707e-14	4.66666666666667e-15	2.8e-16	1.45209845935895	CC
GO:0003735	structural constituent of ribosome	193	167	115.59	3.6e-16	1.8e-14	1.8e-14	1.764e-14	1.8e-14	1.65e-14	7.42368880824355e-14	1.65e-14	3.6e-16	1.44476165758284	MF
GO:0003824	catalytic activity	7334	4665	4392.23	6.6e-16	3.234e-14	3.234e-14	3.234e-14	3.3e-14	1.65e-14	7.42368880824355e-14	1.65e-14	6.6e-16	1.06210284980522	MF
GO:0044238	primary metabolic process	9948	6213	5931.35	2.9e-15	1.247e-13	1.247e-13	1.218e-13	1.45e-13	1.8125e-14	8.15480967572208e-14	1.8125e-14	2.9e-15	1.04748497390982	BP
GO:0071704	organic substance metabolic process	10545	6566	6287.3	6.8e-15	2.856e-13	2.856e-13	2.788e-13	3.4e-13	3.77777777777778e-14	1.69969979448001e-13	3.77777777777778e-14	6.8e-15	1.04432745375598	BP
GO:0006508	proteolysis	1651	1130	984.38	8.3e-15	3.403e-13	3.403e-13	3.403e-13	4.15e-13	4.15e-14	1.86717021540671e-13	4.15e-14	8.3e-15	1.14793067717751	BP
GO:0006807	nitrogen compound metabolic process	9248	5767	5513.98	7.8e-13	3.12e-11	3.12e-11	3.12e-11	3.9e-11	3.54545454545455e-12	1.59517280177134e-11	3.54545454545455e-12	7.8e-13	1.04588699995285	BP
GO:0030684	preribosome	73	70	43.62	9.0e-13	4.23e-11	4.23e-11	4.23e-11	4.5e-11	1.125e-11	5.0616060056206e-11	1.125e-11	9e-13	1.60476845483723	CC
