GO.ID	Term	Annotated	Significant	Expected	classicFisher	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	FoldChange	ontology
GO:0019901	protein kinase binding	354	13	2.18	3.1e-07	1.55e-05	1.55e-05	1.55e-05	1.55e-05	1.55e-05	6.97376827441061e-05	1.55e-05	3.1e-07	5.96330275229358	MF
GO:0034502	protein localization to chromosome	78	7	0.48	5.1e-07	2.55e-05	2.55e-05	2.55e-05	2.55e-05	2.55e-05	0.0001147297361274	2.55e-05	5.1e-07	14.5833333333333	BP
GO:0019900	kinase binding	402	13	2.48	1.3e-06	6.37e-05	6.37e-05	6.37e-05	6.5e-05	3.25e-05	0.000146224173495706	3.25e-05	1.3e-06	5.24193548387097	MF
GO:0120187	positive regulation of protein localizat...	5	3	0.03	2.2e-06	0.0001078	0.0001078	0.0001056	0.00011	5e-05	0.000224960266916471	5e-05	2.2e-06	100	BP
GO:0007064	mitotic sister chromatid cohesion	17	4	0.1	3.0e-06	0.000144	0.000144	0.000144	0.00015	5e-05	0.000224960266916471	5e-05	3e-06	40	BP
GO:0034086	maintenance of sister chromatid cohesion	8	3	0.05	1.2e-05	0.000564	0.000552	0.00054	6e-04	0.00012	0.000539904640599531	0.00012	1.2e-05	60	BP
GO:0034088	maintenance of mitotic sister chromatid ...	8	3	0.05	1.2e-05	0.000564	0.000552	0.00054	6e-04	0.00012	0.000539904640599531	0.00012	1.2e-05	60	BP
GO:0019887	protein kinase regulator activity	134	7	0.83	2.0e-05	0.00096	0.00096	0.00092	0.001	0.000333333333333333	0.00149973511277648	0.000333333333333333	2e-05	8.43373493975904	MF
GO:0019207	kinase regulator activity	143	7	0.88	3.0e-05	0.00141	0.00141	0.00138	0.0015	0.000375	0.00168720200187353	0.000375	3e-05	7.95454545454545	MF
GO:0007063	regulation of sister chromatid cohesion	11	3	0.07	3.6e-05	0.00162	0.001584	0.00118411764705882	0.0018	0.00023125	0.00104044123448868	0.00023125	3.6e-05	42.8571428571429	BP
GO:1905634	regulation of protein localization to ch...	11	3	0.07	3.6e-05	0.00162	0.001584	0.00118411764705882	0.0018	0.00023125	0.00104044123448868	0.00023125	3.6e-05	42.8571428571429	BP
GO:1990414	replication-born double-strand break rep...	2	2	0.01	3.7e-05	0.00162	0.001591	0.00118411764705882	0.00185	0.00023125	0.00104044123448868	0.00023125	3.7e-05	200	BP
GO:0005043	netrin receptor activity involved in che...	2	2	0.01	3.8e-05	0.001748	0.001748	0.00168	0.0019	0.00038	0.00170969802856518	0.00038	3.8e-05	200	MF
GO:0000994	RNA polymerase III core binding	3	2	0.02	0.00011	0.00495	0.00495	0.00385	0.0055	0.000916666666666667	0.00412427156013531	0.000916666666666667	0.00011	100	MF
GO:0071168	protein localization to chromatin	16	3	0.1	0.00012	0.00504	0.00185	0.00185	0.006	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00012	30	BP
GO:0034452	dynactin binding	45	4	0.28	0.00017	0.00748	0.00748	0.00544	0.0085	0.00121428571428571	0.00546332076797144	0.00121428571428571	0.00017	14.2857142857143	MF
GO:0031965	nuclear membrane	183	7	1.16	0.00017	0.0085	0.0085	0.00748	0.0085	0.00416666666666667	0.0187466889097059	0.00416666666666667	0.00017	6.03448275862069	CC
GO:0034091	regulation of maintenance of sister chro...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0034093	positive regulation of maintenance of si...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0034182	regulation of maintenance of mitotic sis...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0034184	positive regulation of maintenance of mi...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0045876	positive regulation of sister chromatid ...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0070602	regulation of centromeric sister chromat...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0071960	maintenance of mitotic sister chromatid ...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0071962	mitotic sister chromatid cohesion, centr...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:2000718	regulation of maintenance of mitotic sis...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:2000720	positive regulation of maintenance of mi...	4	2	0.02	0.00022	0.00902	0.00185	0.00185	0.011	0.000578947368421053	0.00260480309061177	0.000578947368421053	0.00022	100	BP
GO:0005765	lysosomal membrane	138	6	0.87	0.00025	0.01225	0.012	0.01025	0.0125	0.00416666666666667	0.0187466889097059	0.00416666666666667	0.00025	6.89655172413793	CC
GO:0098852	lytic vacuole membrane	138	6	0.87	0.00025	0.01225	0.012	0.01025	0.0125	0.00416666666666667	0.0187466889097059	0.00416666666666667	0.00025	6.89655172413793	CC
GO:0032490	detection of molecule of bacterial origi...	51	4	0.31	0.00027	0.00902	0.00185	0.00185	0.0135	0.000675	0.00303696360337236	0.000675	0.00027	12.9032258064516	BP
GO:0098581	detection of external biotic stimulus	52	4	0.32	0.00029	0.00902	0.00185	0.00185	0.0145	0.00069047619047619	0.00310659416217984	0.00069047619047619	0.00029	12.5	BP
GO:0009595	detection of biotic stimulus	54	4	0.33	0.00033	0.00957	0.00185	0.00185	0.0165	0.00075	0.00337440400374707	0.00075	0.00033	12.1212121212121	BP
GO:0003823	antigen binding	54	4	0.33	0.00034	0.01462	0.01406	0.00986	0.017	0.0014	0.00629888747366119	0.0014	0.00034	12.1212121212121	MF
GO:0006036	cuticle chitin catabolic process	5	2	0.03	0.00037	0.01036	0.00185	0.00185	0.0185	0.000770833333333333	0.0034681374482956	0.000770833333333333	0.00037	66.6666666666667	BP
GO:0016480	negative regulation of transcription by ...	5	2	0.03	0.00037	0.01036	0.00185	0.00185	0.0185	0.000770833333333333	0.0034681374482956	0.000770833333333333	0.00037	66.6666666666667	BP
GO:0045503	dynein light chain binding	55	4	0.34	0.00037	0.01554	0.01406	0.0103366666666667	0.0185	0.0014	0.00629888747366119	0.0014	0.00037	11.7647058823529	MF
GO:0001002	RNA polymerase III type 1 promoter seque...	5	2	0.03	0.00037	0.01554	0.01406	0.0103366666666667	0.0185	0.0014	0.00629888747366119	0.0014	0.00037	66.6666666666667	MF
GO:0005042	netrin receptor activity	5	2	0.03	0.00037	0.01554	0.01406	0.0103366666666667	0.0185	0.0014	0.00629888747366119	0.0014	0.00037	66.6666666666667	MF
GO:0072354	histone H3T3 kinase activity	5	2	0.03	0.00037	0.01554	0.01406	0.0103366666666667	0.0185	0.0014	0.00629888747366119	0.0014	0.00037	66.6666666666667	MF
GO:0080084	5S rDNA binding	5	2	0.03	0.00037	0.01554	0.01406	0.0103366666666667	0.0185	0.0014	0.00629888747366119	0.0014	0.00037	66.6666666666667	MF
GO:0035301	Hedgehog signaling complex	5	2	0.03	0.00039	0.01833	0.01833	0.01443	0.0195	0.004875	0.0219336260243559	0.004875	0.00039	66.6666666666667	CC
GO:0016286	small conductance calcium-activated pota...	24	3	0.15	0.00042	0.01554	0.01554	0.01092	0.021	0.0014	0.00629888747366119	0.0014	0.00042	20	MF
GO:0040017	positive regulation of locomotion	293	8	1.79	0.00045	0.0117	0.00185	0.00185	0.0225	0.000887096774193548	0.00399123054206643	0.000887096774193548	0.00045	4.46927374301676	BP
GO:0008046	axon guidance receptor activity	58	4	0.36	0.00045	0.0162	0.0162	0.011518	0.0225	0.0014	0.00629888747366119	0.0014	0.00045	11.1111111111111	MF
GO:0034501	protein localization to kinetochore	60	4	0.37	0.00050	0.0125	0.00185	0.00185	0.025	0.000887096774193548	0.00399123054206643	0.000887096774193548	5e-04	10.8108108108108	BP
GO:0071459	protein localization to chromosome, cent...	60	4	0.37	0.00050	0.0125	0.00185	0.00185	0.025	0.000887096774193548	0.00399123054206643	0.000887096774193548	5e-04	10.8108108108108	BP
