Species	gene	total_score	count	average_score
Drosophila_yakuba	rna-XM_039377616.1	119	2	59.5
Drosophila_yakuba	rna-XM_015190722.3	164	2	82
Drosophila_yakuba	rna-XM_002101912.4	133	2	66.5
Drosophila_yakuba	rna-XM_002101507.3	320	2	160
Drosophila_yakuba	rna-XM_002101898.4	114	2	57
Drosophila_yakuba	rna-XM_002099576.3	84	2	42
Drosophila_yakuba	rna-XM_039370208.1	328	2	164
Drosophila_yakuba	rna-XM_002099749.3	190	2	95
Drosophila_yakuba	rna-XM_015190355.3	23	1	23
Drosophila_yakuba	rna-XM_002100553.4	269	2	134.5
Drosophila_yakuba	rna-XM_002100758.4	328	2	164
Drosophila_yakuba	rna-XM_002100417.4	128	2	64
Drosophila_yakuba	rna-XM_002101780.4	122	2	61
Drosophila_yakuba	rna-XM_039377632.1	126	2	63
Drosophila_yakuba	rna-XM_039377470.2	166	2	83
Drosophila_yakuba	rna-XM_002101161.4	246	2	123
Drosophila_yakuba	rna-XM_002100983.3	55	2	27.5
Drosophila_yakuba	rna-XM_002101565.3	332	2	166
Drosophila_yakuba	rna-XM_039374208.1	195	2	97.5
Drosophila_yakuba	rna-XM_002101388.4	105	2	52.5
Drosophila_yakuba	rna-XM_002100140.3	251	2	125.5
Drosophila_yakuba	rna-XM_002100350.4	132	2	66
Drosophila_yakuba	rna-XM_002100552.3	267	2	133.5
Drosophila_yakuba	rna-XM_002100710.4	326	2	163
Drosophila_yakuba	rna-XM_039370599.2	324	2	162
Drosophila_yakuba	rna-XM_002101487.4	285	2	142.5
Drosophila_yakuba	rna-XM_002100851.2	197	2	98.5
Drosophila_yakuba	rna-XM_015190020.2	34	1	34
Drosophila_yakuba	rna-XM_002100385.4	130	2	65
Drosophila_yakuba	rna-XM_002101916.3	142	2	71
Drosophila_yakuba	rna-XM_002100197.4	328	2	164
Drosophila_yakuba	rna-XM_002099654.3	82	2	41
Drosophila_yakuba	rna-XM_002099797.4	195	2	97.5
Drosophila_yakuba	rna-XM_015190890.3	101	2	50.5
Drosophila_yakuba	rna-XM_039370590.2	324	2	162
Drosophila_yakuba	rna-XM_002101925.4	151	2	75.5
Drosophila_yakuba	rna-XM_002100941.3	97	2	48.5
Drosophila_yakuba	rna-XM_015190380.3	229	1	229
Drosophila_yakuba	rna-XM_002100982.4	57	2	28.5
Drosophila_yakuba	rna-XM_039375810.2	332	2	166
Drosophila_yakuba	rna-XM_039370836.1	218	2	109
Drosophila_yakuba	rna-XM_015190899.3	137	2	68.5
Drosophila_yakuba	rna-XM_002100763.3	328	2	164
Drosophila_yakuba	rna-XM_002100304.4	147	2	73.5
Drosophila_yakuba	rna-XM_002101486.4	283	2	141.5
Drosophila_yakuba	rna-XM_002101086.3	166	2	83
Drosophila_yakuba	rna-XM_002100036.4	53	2	26.5
Drosophila_yakuba	rna-XM_002101274.4	41	2	20.5
Drosophila_yakuba	rna-XM_039372913.1	37	1	37
Drosophila_yakuba	rna-XM_002099793.4	195	2	97.5
Drosophila_yakuba	rna-XM_015191319.2	81	2	40.5
Drosophila_yakuba	rna-XM_002101917.3	144	2	72
Drosophila_yakuba	rna-XM_039370397.2	96	2	48
Drosophila_yakuba	rna-XM_002101483.4	272	2	136
Drosophila_yakuba	rna-XM_039374104.2	332	2	166
Drosophila_yakuba	rna-XM_002100433.3	128	2	64
Drosophila_yakuba	rna-XM_002100196.4	328	2	164
Drosophila_yakuba	rna-XM_002099796.4	195	2	97.5
Drosophila_yakuba	rna-XM_015190564.3	218	2	109
Drosophila_yakuba	rna-XM_002101734.4	170	2	85
Drosophila_yakuba	rna-XM_039377561.1	327	2	163.5
Drosophila_yakuba	rna-XM_002100784.3	262	2	131
Drosophila_yakuba	rna-XM_039374219.2	205	2	102.5
Drosophila_yakuba	rna-XM_039377474.1	65	2	32.5
Drosophila_yakuba	rna-XM_002101028.4	35	2	17.5
Drosophila_yakuba	rna-XM_039376188.2	307	2	153.5
Drosophila_yakuba	rna-XM_039377578.2	230	1	230
Drosophila_yakuba	rna-XM_002101144.4	280	2	140
Drosophila_yakuba	rna-XM_015190029.3	45	2	22.5
Drosophila_yakuba	rna-XM_002100060.4	103	2	51.5
Drosophila_yakuba	rna-XM_002099615.4	2	2	1
Drosophila_yakuba	rna-XM_002100025.4	40	2	20
Drosophila_yakuba	rna-XM_002100425.3	128	2	64
Drosophila_yakuba	rna-XM_039377168.2	132	1	132
Drosophila_yakuba	rna-XM_002101648.3	24	1	24
Drosophila_yakuba	rna-XM_002101327.3	28	2	14
Drosophila_yakuba	rna-XM_039371817.2	192	2	96
Drosophila_yakuba	rna-XM_002101482.3	269	2	134.5
Drosophila_yakuba	rna-XM_015190007.3	75	1	75
Drosophila_yakuba	rna-XM_015189919.3	193	2	96.5
Drosophila_yakuba	rna-XM_002101503.3	309	2	154.5
Drosophila_yakuba	rna-XM_015190334.3	182	2	91
Drosophila_yakuba	rna-XM_002101937.4	147	2	73.5
Drosophila_yakuba	rna-XM_002101872.4	68	2	34
Drosophila_yakuba	rna-XM_002101708.3	171	2	85.5
Drosophila_yakuba	rna-XM_002100416.4	128	2	64
Drosophila_yakuba	rna-XM_002099626.3	25	2	12.5
Drosophila_yakuba	rna-XM_002099871.4	174	2	87
Drosophila_yakuba	rna-XM_002100413.4	129	2	64.5
Drosophila_yakuba	rna-XM_002100771.4	326	2	163
Drosophila_yakuba	rna-XM_039371049.2	49	2	24.5
Drosophila_yakuba	rna-XM_039377114.2	142	2	71
Drosophila_yakuba	rna-XM_015190005.3	92	2	46
Drosophila_yakuba	rna-XM_015190190.2	232	1	232
Drosophila_yakuba	rna-XM_039377031.2	220	1	220
Drosophila_yakuba	rna-XM_002101325.3	24	2	12
Drosophila_yakuba	rna-XM_002100555.4	273	2	136.5
Drosophila_yakuba	rna-XM_002099617.4	8	2	4
Drosophila_yakuba	rna-XM_002100341.4	132	2	66
Drosophila_yakuba	rna-XM_039377615.1	13	1	13
Drosophila_yakuba	rna-XM_002100427.3	128	2	64
Drosophila_yakuba	rna-XM_002099921.3	56	2	28
Drosophila_yakuba	rna-XM_002100231.4	294	2	147
Drosophila_yakuba	rna-XM_043207048.1	282	2	141
Drosophila_yakuba	rna-XM_002101519.4	328	2	164
Drosophila_yakuba	rna-XM_015190550.3	219	2	109.5
Drosophila_yakuba	rna-XM_043206901.1	58	1	58
Drosophila_yakuba	rna-XM_002101922.3	150	2	75
Drosophila_yakuba	rna-XM_002101935.4	150	2	75
Drosophila_yakuba	rna-XM_015190084.3	155	2	77.5
Drosophila_yakuba	rna-XM_002101316.4	8	2	4
Drosophila_yakuba	rna-XM_002100589.4	332	2	166
Drosophila_yakuba	rna-XM_002101844.4	29	2	14.5
Drosophila_yakuba	rna-XM_002086820.4	328	2	164
Drosophila_yakuba	rna-XM_015190142.3	322	2	161
Drosophila_yakuba	rna-XM_002100211.3	328	2	164
Drosophila_yakuba	rna-XM_002099884.3	136	2	68
Drosophila_yakuba	rna-XM_015191014.3	332	2	166
Drosophila_yakuba	rna-XM_015190066.2	39	2	19.5
Drosophila_yakuba	rna-XM_015190914.2	219	2	109.5
Drosophila_yakuba	rna-XM_039376838.1	100	2	50
Drosophila_yakuba	rna-XM_039374804.2	267	2	133.5
Drosophila_yakuba	rna-XM_002100054.4	91	2	45.5
Drosophila_yakuba	rna-XM_015190908.2	173	2	86.5
Drosophila_yakuba	rna-XM_039377411.2	11	1	11
Drosophila_yakuba	rna-XM_002100893.4	118	2	59
Drosophila_yakuba	rna-XM_002099637.3	49	2	24.5
Drosophila_yakuba	rna-XM_039377622.1	46	2	23
Drosophila_yakuba	rna-XM_015190272.3	129	2	64.5
Drosophila_yakuba	rna-XM_002101243.3	83	2	41.5
Drosophila_yakuba	rna-XM_002100195.4	328	2	164
Drosophila_yakuba	rna-XM_039370093.1	149	1	149
Drosophila_yakuba	rna-XM_002100591.3	332	2	166
Drosophila_yakuba	rna-XM_002101177.3	215	2	107.5
Drosophila_yakuba	rna-XM_002099819.4	190	2	95
Drosophila_yakuba	rna-XM_002101085.3	162	2	81
Drosophila_yakuba	rna-XM_002101485.4	281	2	140.5
Drosophila_yakuba	rna-XM_039372333.1	328	2	164
Drosophila_yakuba	rna-XM_039372988.1	169	2	84.5
Drosophila_yakuba	rna-XM_039370949.2	130	2	65
