Species	gene	total_score	count	average_score
Drosophila_simulans	rna-XM_016170310.3	39	2	19.5
Drosophila_simulans	rna-XM_002079370.3	2	2	1
Drosophila_simulans	rna-XM_016176167.3	111	2	55.5
Drosophila_simulans	rna-XM_002103006.4	49	2	24.5
Drosophila_simulans	rna-XM_002077923.4	483	2	241.5
Drosophila_simulans	rna-XM_002081137.3	191	2	95.5
Drosophila_simulans	rna-XM_002080273.4	30	2	15
Drosophila_simulans	rna-XM_016180906.3	13	2	6.5
Drosophila_simulans	rna-XM_002078269.4	50	2	25
Drosophila_simulans	rna-XM_002081165.3	244	2	122
Drosophila_simulans	rna-XM_039293608.2	181	2	90.5
Drosophila_simulans	rna-XM_002103281.4	326	2	163
Drosophila_simulans	rna-XM_016174836.3	6	2	3
Drosophila_simulans	rna-XM_039292391.2	18	1	18
Drosophila_simulans	rna-XM_039291544.2	2	2	1
Drosophila_simulans	rna-XM_039296898.2	47	1	47
Drosophila_simulans	rna-XM_039292725.2	82	2	41
Drosophila_simulans	rna-XM_002078780.4	283	2	141.5
Drosophila_simulans	rna-XM_002107500.4	66	2	33
Drosophila_simulans	rna-XM_039291833.2	175	2	87.5
Drosophila_simulans	rna-XM_016174050.3	26	2	13
Drosophila_simulans	rna-XM_016179057.3	298	2	149
Drosophila_simulans	rna-XM_039293027.2	4	2	2
Drosophila_simulans	rna-XM_002085514.4	268	2	134
Drosophila_simulans	rna-XM_002077627.4	198	2	99
Drosophila_simulans	rna-XM_016170862.3	424	2	212
Drosophila_simulans	rna-XM_002104610.4	49	2	24.5
Drosophila_simulans	rna-XM_016171082.3	26	2	13
Drosophila_simulans	rna-XM_039296750.2	79	2	39.5
Drosophila_simulans	rna-XM_016181900.3	283	2	141.5
Drosophila_simulans	rna-XM_016183812.3	69	2	34.5
Drosophila_simulans	rna-XM_002082218.4	297	2	148.5
Drosophila_simulans	rna-XM_016179085.3	189	1	189
Drosophila_simulans	rna-XM_039291744.2	240	1	240
Drosophila_simulans	rna-XM_016175882.3	12	2	6
Drosophila_simulans	rna-XM_039291442.2	60	2	30
Drosophila_simulans	rna-XM_002103879.4	122	2	61
Drosophila_simulans	rna-XM_016176757.3	30	2	15
Drosophila_simulans	rna-XM_002105250.4	305	2	152.5
Drosophila_simulans	rna-XM_016176563.3	67	2	33.5
Drosophila_simulans	rna-XM_016174958.2	2	2	1
Drosophila_simulans	rna-XM_044923797.1	125	2	62.5
Drosophila_simulans	rna-XM_044923380.1	232	2	116
Drosophila_simulans	rna-XM_039291846.1	346	2	173
Drosophila_simulans	rna-XM_016177526.3	43	2	21.5
Drosophila_simulans	rna-XM_016176674.3	284	2	142
