Species	gene	total_score	count	average_score
Drosophila_santomea	rna-XM_039627652.1	284	2	142
Drosophila_santomea	rna-XM_039626071.2	108	2	54
Drosophila_santomea	rna-XM_039639961.1	1112	2	556
Drosophila_santomea	rna-XM_039636435.1	1449	2	724.5
Drosophila_santomea	rna-XM_039633876.2	1977	2	988.5
Drosophila_santomea	rna-XM_039645546.2	878	2	439
Drosophila_santomea	rna-XM_039641118.1	106	2	53
Drosophila_santomea	rna-XM_039634566.2	1773	2	886.5
Drosophila_santomea	rna-XM_039643666.2	11	2	5.5
Drosophila_santomea	rna-XM_039623964.2	900	2	450
Drosophila_santomea	rna-XM_039630545.1	185	1	185
Drosophila_santomea	rna-XM_039630854.1	480	2	240
Drosophila_santomea	rna-XM_039626884.1	285	2	142.5
Drosophila_santomea	rna-XM_039633204.1	110	1	110
Drosophila_santomea	rna-XM_039644135.1	167	2	83.5
Drosophila_santomea	rna-XM_039631919.2	480	2	240
Drosophila_santomea	rna-XM_039638770.1	1010	2	505
Drosophila_santomea	rna-XM_039637202.2	904	2	452
Drosophila_santomea	rna-XM_039637311.2	695	2	347.5
Drosophila_santomea	rna-XM_039629201.2	642	2	321
Drosophila_santomea	rna-XM_039646021.1	206	1	206
Drosophila_santomea	rna-XM_039640535.1	34	2	17
Drosophila_santomea	rna-XM_039625883.2	467	2	233.5
Drosophila_santomea	rna-XM_039643301.2	172	2	86
Drosophila_santomea	rna-XM_039645622.2	669	2	334.5
Drosophila_santomea	rna-XM_039640567.1	47	2	23.5
Drosophila_santomea	rna-XM_039640753.1	329	2	164.5
Drosophila_santomea	rna-XM_039630532.2	50	1	50
Drosophila_santomea	rna-XM_039642698.2	333	2	166.5
Drosophila_santomea	rna-XM_039638199.2	639	2	319.5
Drosophila_santomea	rna-XM_039640742.2	19	2	9.5
Drosophila_santomea	rna-XM_039629571.2	297	1	297
Drosophila_santomea	rna-XM_039646534.2	894	2	447
Drosophila_santomea	rna-XM_039632599.1	388	2	194
Drosophila_santomea	rna-XM_039637572.2	1423	2	711.5
Drosophila_santomea	rna-XM_039632820.2	14	2	7
Drosophila_santomea	rna-XM_039625018.2	317	2	158.5
Drosophila_santomea	rna-XM_039624976.1	354	2	177
Drosophila_santomea	rna-XM_039636744.2	579	2	289.5
Drosophila_santomea	rna-XM_039631395.2	480	2	240
Drosophila_santomea	rna-XM_039631721.2	571	2	285.5
Drosophila_santomea	rna-XM_039636833.2	814	1	814
Drosophila_santomea	rna-XM_039639392.2	639	2	319.5
Drosophila_santomea	rna-XM_039636358.2	160	2	80
Drosophila_santomea	rna-XM_039643873.1	14	2	7
Drosophila_santomea	rna-XM_039631750.2	652	2	326
Drosophila_santomea	rna-XM_039644300.2	161	2	80.5
Drosophila_santomea	rna-XM_039633663.1	463	2	231.5
Drosophila_santomea	rna-XM_044005670.1	66	1	66
Drosophila_santomea	rna-XM_039631521.2	119	2	59.5
Drosophila_santomea	rna-XM_039636972.1	915	2	457.5
Drosophila_santomea	rna-XM_039628621.2	304	2	152
Drosophila_santomea	rna-XM_039631898.2	16	2	8
Drosophila_santomea	rna-XM_039622950.1	226	2	113
Drosophila_santomea	rna-XM_039637772.2	344	1	344
Drosophila_santomea	rna-XM_039623207.2	684	2	342
Drosophila_santomea	rna-XM_039629771.2	217	2	108.5
Drosophila_santomea	rna-XM_039634156.2	828	2	414
Drosophila_santomea	rna-XM_039646456.2	263	2	131.5
Drosophila_santomea	rna-XM_039626464.2	300	2	150
Drosophila_santomea	rna-XM_039622921.1	1048	2	524
Drosophila_santomea	rna-XM_039625485.1	95	2	47.5
Drosophila_santomea	rna-XM_039628960.2	652	2	326
Drosophila_santomea	rna-XM_039628650.2	279	2	139.5
Drosophila_santomea	rna-XM_039641249.2	114	2	57
Drosophila_santomea	rna-XM_039623173.2	114	2	57
Drosophila_santomea	rna-XM_039623823.2	291	2	145.5
Drosophila_santomea	rna-XM_039630756.2	653	2	326.5
Drosophila_santomea	rna-XM_039628119.2	66	2	33
Drosophila_santomea	rna-XM_039627719.2	14	2	7
Drosophila_santomea	rna-XM_039629432.2	929	2	464.5
Drosophila_santomea	rna-XM_039646086.2	980	2	490
Drosophila_santomea	rna-XM_039640931.1	366	2	183
Drosophila_santomea	rna-XM_039625055.1	46	2	23
Drosophila_santomea	rna-XM_039638426.1	523	2	261.5
Drosophila_santomea	rna-XM_044005855.1	33	1	33
Drosophila_santomea	rna-XM_039642214.2	223	2	111.5
Drosophila_santomea	rna-XM_039628378.2	66	1	66
Drosophila_santomea	rna-XM_039624063.1	346	2	173
Drosophila_santomea	rna-XM_039644540.1	128	2	64
Drosophila_santomea	rna-XM_039627075.1	317	2	158.5
Drosophila_santomea	rna-XM_039628216.1	629	2	314.5
Drosophila_santomea	rna-XM_039638822.2	1772	2	886
Drosophila_santomea	rna-XM_039631071.1	418	2	209
Drosophila_santomea	rna-XM_039636315.1	1785	2	892.5
Drosophila_santomea	rna-XM_039625087.1	362	2	181
Drosophila_santomea	rna-XM_039634228.2	1424	2	712
Drosophila_santomea	rna-XM_044005887.1	298	2	149
Drosophila_santomea	rna-XM_039624609.2	892	2	446
Drosophila_santomea	rna-XM_044006752.1	61	2	30.5
Drosophila_santomea	rna-XM_039625440.1	736	2	368
Drosophila_santomea	rna-XM_039644740.1	639	2	319.5
Drosophila_santomea	rna-XM_039629184.2	144	2	72
Drosophila_santomea	rna-XM_039631747.2	652	2	326
Drosophila_santomea	rna-XM_039629050.1	380	2	190
Drosophila_santomea	rna-XM_039643630.1	82	2	41
Drosophila_santomea	rna-XM_039628875.2	568	2	284
Drosophila_santomea	rna-XM_039639537.1	675	2	337.5
Drosophila_santomea	rna-XM_039625699.1	315	2	157.5
Drosophila_santomea	rna-XM_039627519.2	208	2	104
Drosophila_santomea	rna-XM_039636304.1	1463	2	731.5
Drosophila_santomea	rna-XM_044005744.1	156	2	78
Drosophila_santomea	rna-XM_039641783.2	47	2	23.5
Drosophila_santomea	rna-XM_039633024.2	732	2	366
Drosophila_santomea	rna-XM_039634498.2	1108	2	554
Drosophila_santomea	rna-XM_039644981.1	158	2	79
Drosophila_santomea	rna-XM_039631925.2	210	2	105
Drosophila_santomea	rna-XM_039630780.1	481	2	240.5
Drosophila_santomea	rna-XM_039626239.1	335	2	167.5
Drosophila_santomea	rna-XM_039625970.2	613	2	306.5
Drosophila_santomea	rna-XM_044006162.1	570	2	285
Drosophila_santomea	rna-XM_039631152.1	567	2	283.5
Drosophila_santomea	rna-XM_039642684.2	96	2	48
Drosophila_santomea	rna-XM_039626395.1	130	2	65
Drosophila_santomea	rna-XM_039634054.2	918	2	459
Drosophila_santomea	rna-XM_039630269.1	499	2	249.5
Drosophila_santomea	rna-XM_039630305.2	292	2	146
Drosophila_santomea	rna-XM_039626721.1	6	2	3
Drosophila_santomea	rna-XM_044006454.1	1192	2	596
Drosophila_santomea	rna-XM_039630580.1	589	2	294.5
Drosophila_santomea	rna-XM_039637820.1	1406	2	703
Drosophila_santomea	rna-XM_039637599.2	700	2	350
Drosophila_santomea	rna-XM_039632944.2	297	2	148.5
Drosophila_santomea	rna-XM_039629456.2	480	2	240
Drosophila_santomea	rna-XM_039637170.1	179	1	179
Drosophila_santomea	rna-XM_039645920.1	905	2	452.5
Drosophila_santomea	rna-XM_039644396.2	132	2	66
Drosophila_santomea	rna-XM_039623608.1	105	2	52.5
Drosophila_santomea	rna-XM_039633731.1	400	1	400
Drosophila_santomea	rna-XM_039646062.2	1116	2	558
Drosophila_santomea	rna-XM_044006098.1	599	2	299.5
Drosophila_santomea	rna-XM_039630471.2	573	2	286.5
Drosophila_santomea	rna-XM_039633258.2	569	2	284.5
Drosophila_santomea	rna-XM_039626898.1	955	2	477.5
Drosophila_santomea	rna-XM_039624313.1	129	2	64.5
Drosophila_santomea	rna-XM_039630314.2	626	2	313
Drosophila_santomea	rna-XM_039643541.1	84	2	42
Drosophila_santomea	rna-XM_044006736.1	56	2	28
Drosophila_santomea	rna-XM_039642505.1	325	2	162.5
Drosophila_santomea	rna-XM_044006243.1	418	2	209
Drosophila_santomea	rna-XM_039635801.2	578	2	289
Drosophila_santomea	rna-XM_039642714.1	1122	2	561
Drosophila_santomea	rna-XM_039641265.1	202	2	101
Drosophila_santomea	rna-XM_039638817.2	1772	2	886
Drosophila_santomea	rna-XM_039628403.2	19	1	19
Drosophila_santomea	rna-XM_039637458.2	593	2	296.5
Drosophila_santomea	rna-XM_039642597.2	214	2	107
Drosophila_santomea	rna-XM_039629905.1	480	2	240
Drosophila_santomea	rna-XM_039637100.2	56	2	28
Drosophila_santomea	rna-XM_039623347.2	878	2	439
Drosophila_santomea	rna-XM_039638340.1	1625	2	812.5
Drosophila_santomea	rna-XM_039626189.2	614	2	307
Drosophila_santomea	rna-XM_039640929.2	81	2	40.5
Drosophila_santomea	rna-XM_039632502.2	477	2	238.5
Drosophila_santomea	rna-XM_039643969.2	28	2	14
Drosophila_santomea	rna-XM_039630375.1	1054	2	527
Drosophila_santomea	rna-XM_039623362.1	565	2	282.5
Drosophila_santomea	rna-XM_039646501.1	236	2	118
Drosophila_santomea	rna-XM_039644240.2	40	2	20
Drosophila_santomea	rna-XM_039645218.1	61	2	30.5
Drosophila_santomea	rna-XM_039634891.1	1424	2	712
Drosophila_santomea	rna-XM_039626377.1	1051	2	525.5
Drosophila_santomea	rna-XM_039643628.1	86	2	43
Drosophila_santomea	rna-XM_039641283.1	516	2	258
Drosophila_santomea	rna-XM_039631616.2	21	2	10.5
Drosophila_santomea	rna-XM_039635789.2	663	2	331.5
Drosophila_santomea	rna-XM_039626648.1	314	2	157
Drosophila_santomea	rna-XM_039642797.2	135	2	67.5
Drosophila_santomea	rna-XM_039632272.2	417	2	208.5
Drosophila_santomea	rna-XM_039644629.2	177	2	88.5
Drosophila_santomea	rna-XM_039630280.2	574	2	287
Drosophila_santomea	rna-XM_039633529.2	288	2	144
Drosophila_santomea	rna-XM_039636411.2	859	2	429.5
Drosophila_santomea	rna-XM_039640711.2	102	2	51
Drosophila_santomea	rna-XM_039636374.2	585	2	292.5
Drosophila_santomea	rna-XM_039627939.1	130	2	65
Drosophila_santomea	rna-XM_039634910.2	320	2	160
Drosophila_santomea	rna-XM_039639917.2	1194	2	597
Drosophila_santomea	rna-XM_039630769.2	439	2	219.5
Drosophila_santomea	rna-XM_039623386.1	244	2	122
Drosophila_santomea	rna-XM_039632088.1	599	2	299.5
Drosophila_santomea	rna-XM_039643241.2	82	2	41
Drosophila_santomea	rna-XM_039644111.2	134	2	67
Drosophila_santomea	rna-XM_039642275.1	994	2	497
Drosophila_santomea	rna-XM_039642193.2	80	2	40
Drosophila_santomea	rna-XM_039639613.2	339	2	169.5
Drosophila_santomea	rna-XM_039626539.2	244	2	122
